stars;title;txt
3.0;"Love &amp; Fungi";Paddenstoelen dienen als metafoor in dit drama over een man die zichzelf zoveel mogelijk wil afzonderen van de maatschappij.
3.0;Escape Plan;Stallone en Schwarzenegger zijn op hun best in een actiefilm die doet denken aan hun hoogtijdagen.
3.5;Feuten: Het Feestje;Studentikoze film stemt weemoedig.
4.5;Gangs of Wasseypur;Een ander soort geluid uit Bollywood, dit geweldige en gewelddadige gangsterepos.
4.0;Short Term 1;Gevoelig en fijnzinnig drama over een bevlogen jeugdhulpverleenster die ook orde op zaken in haar eigen leven moet stellen.
3.0;A Long Story;De nieuwe Nederlandse roadmovie leidt naar Roemenië. Gelukkig zit Raymond Thiry achter het stuur.
3.0;Hava Nagila: The Movie;Humoristische, maar zwalkende documentaire over de ontstaansgeschiedenis en culturele impact van de stemmingmaker op menig huwelijk en bar mitswa.
1.5;Battle of the Year;Breakdance in 3D.
1.5;How to Describe a Cloud;Moeilijk te peilen drama over een meisje dat wordt geconfronteerd met de blindheid, tradities en levensinstelling van haar moeder.
5.0;La Vie d'Adèle;Magistraal liefdesdrama.
3.5;Metallica Through the Never;Deze spectaculaire concertregistratie van 's werelds populairste metalformatie wordt omlijst door vage fictie. Dit blijft acceptabel zolang je het als één grote videoclip opvat.
4.0;About Time;De man achter Notting Hill en Love Actually keert terug met  een geslaagde romantische komedie over tijdreizen.
2.0;Runner Runner;Zon, zee en poker in dit formulematige tussendoortje met Timberlake en Affleck.
4.0;Doe Maar: Dit Is Alles;Doe Maar gunt dertig jaar na het uiteenvallen van de band een blik achter de schermen.
2.0;Planes;Deze spin-off van Cars wil ondanks de setting maar niet echt van de grond komen. Hij mist de sprankeling en humor van Pixar.
