stars;title;txt
3.0;Grand Central;Het gevaarlijke werk in een kerncentrale als metafoor voor een fatale liefdesverhouding.
3.5;Midden in de Winternacht;Een wat Amerikaans ogende, maar alleszins vermakelijke familiefilm voor tijdens de kerstdagen.
4.5;Captain Phillips;Greengrass en Hanks zijn in topvorm in deze intense navertelling van de kaping van het Amerikaanse vrachtschip Maersk Alabama.
4.0;Omar;De regisseur van het bejubelde Paradise Now komt opnieuw met een pakkend drama over Palestijnse vrijheidsstrijders.
4.0;Like Father, Like Son;Fijnzinnig en emotioneel Japans drama van de maker van Nobody Knows over de vraag of een familieband door biologische factoren of opvoeding ontstaat.
4.0;The Fifth Estate;Sterk geschreven thriller over de totstandkoming van Wikileaks.
3.0;Otto Is een Neushoorn;Charmante doch wat kluchtige Deense animatiefilm over een enorme neushoorn in een woonkamer van een appartement.
4.0;The Hunger Games: Catching Fire;Onder leiding van nieuwe regisseur Francis Lawrence neemt de populaire jongvolwassenenfranchise een zelfverzekerde aanloop naar wat een zinderende finale belooft te worden.
4.5;The Worlds End;De trilogie die eigenlijk geen trilogie is, wordt op waardige wijze afgesloten.
2.5;The Counselor;Vervreemdende middenmoter zweeft tussen veel te vaag en briljant artistiek.
4.0;Blackbird;Intens Canadees jeugddrama over een zonderlinge puber die moet kiezen tussen verstand en gevoel. Hij belandt in de jeugdgevangenis nadat hij zijn ziel op internet blootgeeft.
4.0;Breakfast at Tiffany's;Audrey Hepburns tijdloze elegantie is opnieuw te bewonderen in digitaal gerestaureerde klassieker.
4.0;Child's Pose;Winnaar van de Gouden Beer is een aangrijpend drama over een moeder die moeite heeft om haar volwassen zoon los te laten.
2.0;Diana;Mierzoet en inaccuraat beeld van Diana´s laatste jaren.
3.0;The Young and Prodigious T.S. Spivet;Jean-Pierre Jeunet probeert het nog eens in het Engels, maar wederom leidt dat tot slechts een halfgeslaagde film.
