stars;title;txt
2.5;Yves Saint Laurent;Als je wil weten wie de legendarische Yves Saint Laurent was kun je beter naar zijn werk kijken. Deze vage biopic heldert teleurstellend weinig op.
4.0;Rio ;Dit veilige vervolg op de animatiehit uit 2011 biedt meer van hetzelfde, maar bezwaarlijk is dat allerminst.
3.5;"Pim &amp; Pom: Het Grote Avontuur";Vrolijk kinderavontuur gebaseerd op de personages van Mies Bouhuys, geanimeerd in de bijbehorende stijl van Fiep Westendorp.
3.5;Snowpiercer;Deze comicverfilming van een Koreaans regiegenie slaat de plank dikwijls mis wat betreft de absurdistische humor. Toch weet hij de voortdenderende trein in het gareel te houden.
3.0;Divergent;Matige boekverfilming over een meisje in de toekomst dat in geen enkel hokje te plaatsen is. De actie is wel aardig, maar plotmatig is het armoeiig.
2.5;Lucia de B.;Deze biopic over de geruchtmakende moordzaak kent te veel invalshoeken. Hoofdrolspeelster Schluter krijgt nauwelijks de kans om de emotie van haar personage te verkennen.
1.5;The Bag Man;John Cusack en Robert De Niro acteren ongeïnspireerd in dit verwarrende filmnoir-achtige verhaal over een tas met inhoud.
3.5;La Jaula de Oro;Drama over arme Guatemalaanse tieners die een lange tocht naar de Verenigde Staten afleggen, in de hoop de Amerikaanse droom te vinden.
3.5;Sexy Money;Eerlijke en inspirerende documentaire over kansarme vrouwen in Nigeria.
3.0;Happily Ever After;Openhartige ontdekkingstocht naar de liefde en de reden dat deze de Kroatische Tatjana Boić telkens teleurstelt.
4.0;Captain America: The Winter Soldier;Geen opwarmertje voor de nieuwe Avengers-film, maar een imponerende hoofdact. Eén van de beste Marvel-films tot op heden.
3.0;Kill Your Darlings;Daniel Radcliffe als Allen Ginsberg, dichter uit de beatgeneration.
2.5;Het Vonnis;Deze rechtbankthriller was een enorme bezoekershit bij onze zuiderburen. Hij bedient zich echter van vele clichés en focust zich te weinig op de emotie.
3.5;Anchorman 2: The Legend Continues;Is de maffe nieuwslezer nog steeds zo legendarisch als de subtitel doet vermoeden
3.5;The Book Thief;Deze verfilming van de wereldwijde besteller barst van de schoonheidsfouten. Het resultaat is een aardig drama over de impact van de oorlog op een onwetend pleegmeisje.
