stars;title;txt
5.0;Brokeback Mountain;Film van het hoogst mogelijke niveau, een absoluut meesterwerk.
3.0;Sílení (Lunacy);Een jongeman wordt op sleeptouw genomen door een gestoorde Markies.
4.0;Heart, Beating in the Dark;In 1982 maakte de Japanse regisseur Nagasaki Shunichi een super 8-videofilm over een jong echtpaar dat in een klein, benauwend appartement naast harde, masochistische seks ook een donker geheim deelt.
4.0;Good Night, and Good Luck.;George Clooney verwijst overduidelijk naar het huidige politieke klimaat in de VS.
3.5;Ode to Joy (Oda do Radosci);Londen is in dit drieluik het beloofde land.
3.0;Douches Froides;Aardig, maar nietszeggend debuut.
4.0;Me and You and Everyone We Know;Met subtiele humor en treffende gevoeligheid heeft July een zeer fijne tragikomedie gemaakt, waarin veel zwaarbeladen onderwerpen luchtig en intelligent worden behandeld.
4.0;Munic;Spielberg giet de gijzeling tijdens de Olympische Spelen van '72 in een geslaagde thrillervorm, maar struikelt over zijn uiteindelijke boodschap van vrede.
4.5;Match Point;Een zeer overtuigende, bij vlagen zelfs briljante morality tale met een solide plot.
4.0;Welt Spiegel Kino;Gustav Deutsch laat ons op een nieuwe manier kijken naar filmfragmenten door bestaande montagetechnieken in te zetten.
2.0;Casanova;Teleurstellende hybride: dankzij het tekenfilm-karakter is het verhaal te tam.
4.0;Jarhead;Doeltreffend en boeiend relaas over wat het militaire bestaan met een man doet.
2.0;Rumor Has It;Een film die noch grappig, noch romantisch is.
3.0;Mrs. Henderson Presents;De film lijdt aan dramatische armoede, heeft weinig pit en stemt onverschillig.
4.0;The Merchant of Venice;Prachtige film, gebaseerd op één van Shakespeare's bekendste werken.
