stars;title;txt
3.5;My Cousin Rachel;Psychologische en modernistische thriller in historisch Engeland, met een sterke Rachel Weisz als een mysterieuze, gesluierde femme fatale in een negentiende-eeuws korset.
2.5;Winnie;Ze was ooit de vrouw van Nelson Mandela en tijdens zijn gevangenschap de voorvechtster van gelijke rechten in Zuid-Afrika. Toen kwamen de schandalen.
4.0;Sage Femme;Het pad van een vroedvrouw wordt gekruist door de vroegere maîtresse van haar vader in dit fijngevoelige Franse drama met Catherine Deneuve en Catherine Frot.
3.0;Câini;Prima debuut van Bogdan Mirica in de Balkan-variant van No Country for Old Men.
4.0;Wonder Woman;Wonder Womans solo-uiting blijkt een ongeveinsde actiefilm en de verlate franchisestarter die het DCEU altijd al wilde.
3.0;The Promise;Eerste Hollywoodfilm over de Armeense genocide. Prachtige productie, maar de impact valt tegen.
3.5;Sprakeloos;Verfilming van Tom Lanoyes boek over een actrice die geveld wordt door een beroerte. Krachtig spel van Viviance de Muynck.
3.0;All Eyez On Me;Biopic van iconische rapper Tupac Shakur die oppervlakkig blijft maar wel vermaakt.
4.0;It Comes at Night;Een mysterieuze virusuitbraak zet de verhoudingen tussen twee gezinnen op scherp in deze psychologisch akelige horrorfilm.
3.0;La Región Salvaje;Twee vrouwen, twee mannen en een buitenaards wezen vormen de rode draad van dit Mexicaanse drama over lust en begeerte.
3.0;Mountain;Op de begraafplaats waar ooit de doden zullen herrijzen vecht een gelovige vrouw voor erkenning en begeerte.
3.5;The Eagle Huntress;Hartverwarmende, enigszins misleidende documentaire over een meisje dat de eerste adelaarsjageres van Mongolië wil worden.
3.5;The Bleeder;Biopic over de echte Rocky met een knock-out acteerprestatie van Liev Schreiber.
2.5;The Mummy;Schizofrene superhelden-horror-avonturenfilm die te graag iedereen wil bekoren.
2.0;The Wall;In de Iraakse woestijn zorgt een beperkt aantal elementen en slechts drie mannen voor hoogspanning.
