stars;title;txt
3.5;Disturbia;Een hedendaagse blik op Hitchcocks klassieker Rear Window.
4.0;Planet Terror;Goor, hilarisch, enerverend en heerlijk over de top.
4.0;The Simpsons;De plot is beter uitgewerkt, alle karakters ontplooien zich en ook geliefde bijrollen krijgen hun grappige momenten.
3.5;Infamous;Komt overbodig over, maar is een goede film.
2.0;Evan Almighty;Brave, gezapige Amerikaanse christelijke familiekomedie met een milieuboodschap.
2.5;Zidane: un portrait du 21e siècle;Een experimentele, abstracte film waarin zeventien cameras.
4.0;London to Brighton;Een donkere, vieze thriller.
2.5;Tales from Earthsea;Het debuut van Goro Miyazaki, de zoon van de befaamde animatiefilmer Hayao voldoet niet aan de verwachtingen die de achternaam met zich meebrengt.
2.5;Reno 911!: Miami;Flauw avontuur van het meest belachelijke politiekorps sinds Police Academy.
3.5;Molière;Prettig, lichtvoetig kostuumdrama.
1.5;The Last Legion;Een zeer inadequate en ineffectieve poging om mythe en geschiedenis aan elkaar te koppelen.
4.0;Congorama;Uitstekend geacteerd Belgisch/Canadees drama, vol verrassingen en boeiende personages.
5.0;Ratatouille;Pixar legt de lat voor westerse animatiefilms wederom een stukje hoger.
2.5;Fantastic Four: Rise of the Silver Surfer;Nadat de eerste film een (commercieel) succes was, moest het concept natuurlijk uitgemolken worden.
4.0;The Host;The Host is een zeer effectieve, originele film uit Zuid-Korea, die alle genreconventies aan zijn laars lapt.
