stars;title;txt
2.0;Metéora;Dit Griekse kloosterdrama over een onmogelijke liefde tussen een non en een monnik wordt opgesierd door eenvoudige maar stijlvolle animatiesequenties.
4.5;Behind the Candelabra;Tour de force van Douglas als de flamboyante pianist Liberace, die net zo weet te intrigeren als Mr Showmanship zelf.
3.0;Vampier Zusjes;De Nederlands nagesynchroniseerde versie van de gelijknamige Duitse kinderboekenreeks.
4.0;8 Hotel Rooms;28 momentopnamen van een verhouding in 28 hotelkamers.
3.5;Jour de Fête;Digitaal gerestaureerde versie van het speelfilmdebuut van Jacques Tati. Enigszins gedateerd, maar nog uitermate komische en maatschappelijk relevant.
3.0;The Bling Ring;Sofia Coppolas vijfde speelfilm, over een groepje rijkeluiskinderen uit Hollywood dat inbreekt in de villas van hun idolen, wordt te laat interessant.
3.5;The Heat;Prettige combinatie tussen chickflick en actiefilm.
2.5;De Smurfen ;Gebrekkige animatie en nostalgische blauwe vriendjes.
3.0;The Wolverine;In het chronologisch meest recente X-Men-avontuur probeert de getroebleerde Wolverine met zichzelf en het verleden in het reine te komen.
2.5;Red ;Deel twee van wat wel eens een lange reeks kan worden, laat meer van hetzelfde zien. De cast is nog imposanter en heeft er zichtbaar veel lol in gehad.
4.0;Shokuzai;Intense Japanse thrillerserie nu integraal in vijf uur durende bioscoopversie.
3.0;Jayne Mansfield's Car;Billy Bob Thornton levert weer een originele film af, die ietwat vreemd maar wel fijn is om naar te kijken.
3.5;Blancanieves;Deze Spaanse bewerking van Sneeuwwitje is een eerbetoon aan de gloriedagen van de zwijgende film. Het ziet er oogstrelend uit, maar het verhaal is soms wat sloom.
1.5;Make Your Move;In deze dansfilm van de schrijver van Step Up gaat wel erg veel aandacht uit naar de personages en gaan de voetjes te weinig van de vloer.
4.0;Pacific Rim;Grootschalige gevechten en aanstekelijk entertainment voeren de boventoon in Guillermo Del Toros visueel verbluffende actiespektakel.
