stars;title;txt
3.5;Voir du Pays;Beeldige blik op ontstressende soldaten en de mentale littekens die zij dragen, met een dubieuze climax.
2.0;Passage;Nederland waterland. Deze documentaire volgt de reis van een vrachtschip van Amsterdam naar Zuid-Frankrijk.
4.0;Off Track [Telefilm];"Confronterend, ongemakkelijk en pijnlijk komisch; de beste film uit de lichting van dit jaar."
2.5;Smurfs: The Lost Village;Charmante kleurexplosies, een scheutje feminisme en onnodige popnummers zorgen voor een wisselvallige re-smurf.
3.0;Ghost in the Shell;Amerikaanse bewerking van de animeklassieker uit 1995. Visueel indrukwekkend, maar de geest is een beetje verloren gegaan.
4.0;Train To Busan;Als Spielberg een Koreaanse zombiefilm zou maken, is dit hem.
4.0;Waldstille;Een moment van verkeerde inschatting gooit het leven van een chauffeur ondersteboven. Verstild en sterk staaltje polderdrama.
4.0;Noces;Een confronterend kijkje in het leven van een Pakistaans-Belgische tiener in aanloop naar een gearrangeerd huwelijk.
3.5;A United Kingdom;Mooie maar brave verfilming van de verboden liefde tussen een prins uit Beetsjoeanaland en een Britse typiste.
3.0;The Islands and the Whales;Documentaire over het traditionele leven op de Faeröereilanden. Mooie sfeerimpressie die niet geschikt is voor dierenliefhebbers.
4.0;Zero Days;Een intrigerende docu over malware ingezet door de Amerikanen en de Israëliërs om het Iraanse kernprogramma te ondermijnen.
2.0;Silk Road [Telefilm];Deze film rondom het Darknet had meer scherpte verdiend.
3.0;Beauty and the Beast;De magie is grotendeels verloren gegaan in de live-action bewerking van de geliefde Disney-klassieker.
3.5;Life;Genietbare monsterfilm die schatplichtig is aan de sciencefictionklassiekers Alien en Gravity.
2.5;Power Rangers;Spektakel genoeg in deze reboot van de ninetiesserie, al durven de makers de knulligheid van het bronmateriaal niet te omarmen.
