stars;title;txt
5.0;Deadpool;Antiheld Deadpool heeft een zwaar leven. De mutant is zijn vriendinnetje kwijt en hij kan maar niet dood. Zeer geestige kijk op het superheldengenre in hetzelfde universum als X-Men.
4.5;Beyond Sleep;Bijzondere filmische ervaring van een onverfilmbaar geacht boek.
2.5;How to Be Single;Hoe single te zijn, niet single te zijn en vooral jezelf te zijn.
4.5;An;Fijne film over de passie voor lekker eten maken en stigma's rondom lepra.
2.0;Much Loved;Een verbod in Marokko en een van pornografie betichte regisseur en hoofdrolspeelster maken nog niet een opzienbarende film. Veel gedoe om niks.
3.0;Goosebumps;Vermakelijke familiehorror met een leger aan bekende monsters uit de iconische boekenreeks, maar écht kippenvel blijft uit.
2.5;13 Hours: The Secret Soldiers of Benghazi;Michael Bay doet een aardige poging Paul Greengrass te imiteren, maar valt toch regelmatig terug op zijn vertrouwde machismoverheerlijking.
4.0;Fissa;Onverwacht sterke Nederlandse tienerkomedie met een kunstig in elkaar gevlochten verhaal, een sterke cast en een mooi opgebouwd feest als knallende afsluiter.
4.0;D'Ardennen;Meedogenloos Belgisch misdaaddrama grijpt je vanaf de eerste scène beet.
3.5;Cemetery of Splendour;Gouden Palm-winnaar Weerasethakul schept weer een intrigerende, compleet eigen wereld.
3.5;99 Homes;Andrew Garfield imponeert als een alleenstaande vader die een duivels pact met de Gordon Gekko van de makelaarswereld moet sluiten om zijn huis te behouden.
3.0;Francofonia;Aleksandr Sokurovs fragmentarische ode aan het Louvre.
2.0;Ride Along ;"Een rechtstreekse kopie van het origineel met het chemieloze politieduo van Kevin Hart en Ice Cube; een overbodige herhalingsoefening."
3.5;Storm;De driejarige Storm verhuist met zijn familie naar de Thaise hoofdstad Bangkok. Een charmante korte docu over het aanpassingsvermogen van een kind.
4.5;Spotlight;Het Pulitzerprijswinnende artikel over het verzwegen seksueel misbruik in de Katholieke Kerk leidt tot een film die waarschijnlijk de Oscar zal winnen.
