stars;title;txt
2.0;Revenge of the Green Dragons;Op waargebeurd verhaal gebaseerde misdaadfilm laat geen diepe indruk achter.
2.5;Wakolda;De Argentijnse Oscarinzending draait om een mysterieuze Duitse arts die een immens geheim met zich meedraagt en het leven van een intelligent jong meisje beïnvloedt.
1.5;Pak Van Mijn Hart;De romkom voor de decembermaand is dit jaar een flauwe invuloefening van alles wat volgens debutant Kees van Nieuwkerk in het genre thuishoort.
2.0;Qissa: The Tale of a Lonely Ghost;Een vader moet en zal een zoon hebben, ook al is het eigenlijk een meisje.
2.5;3 Coeurs;Dit sfeervolle Franse romantische drama over een geheime driehoeksverhouding is te melodramatisch voor zijn eigen goed.
4.5;The Drop;Een indringend onderwerelddrama gesitueerd in een grimmig, treffend verbeeld Brooklyn.
4.0;0.000 Days On Eart;Een fictieve dag in het leven van Nick Cave, waarin op mooie wijze de transformerende kracht van muziek centraal staat.
3.5;"The Disappearance of Eleanor Rigby: Him &amp; Her";Een ambitieus regiedebuut waarin een echtscheiding over twee films verdeeld wordt.
4.0;Wild Tales;De Argentijnse Oscarinzending voor beste buitenlandstalige film ontwijkt netjes de gebruikelijke valkuilen van de omnibusfilm.
4.0;Song From the Forest;Na vijfentwintig jaar bij een inheemse stam geleefd te hebben, keert de Amerikaan Louis Sarno terug naar zijn thuisland. Een sterke documentaire over leven in twee werelden.
3.0;Dansen op de Vulkaan;Dit intense jeugddrama over een danser met een ernstige stofwisselingsziekte wordt geplaagd door een gebrek aan context. Hoofdrolspeler Verkooijen maakt indruk.
1.5;Ouija;Glaasje draaien is vragen om problemen.
2.0;A Wolf at the Door;Dit Braziliaanse drama ontvouwt zich in horten en stoten in een thriller en is schatplichtig aan het soapgenre.
4.5;Fury;David Ayer verlaat tijdelijk Los Angeles en gaat op oorlogspad.
4.5;Leviathan;Omvangrijk en gelaagd drama schetst een satirisch, maar zorgwekkend beeld van de corrupte Russische staat.
