stars;title;txt
4.5;La Grande Bellezza;Een van de hoogtepunten van dit filmjaar.
2.5;Het Diner;Ongemakkelijke verfilming van de bestseller van Herman Koch. Het uitstekende spel maakt het gebrek aan sympathieke personages gedeeltelijk goed.
2.0;Carrie;Were all gonna laugh at it.
3.5;Blackfis;De fascinerende geschiedenis van orka Tilikum die de dood van twee trainers op zijn geweten heeft. Het is met name de mens en niet de walvis die blaam treft.
3.0;Thor: The Dark World;In afwachting van de volgende Avengers-bijeenkomst moet de blonde god met de hamer het weer even alleen doen. Gelukkig is Loki er nog.
2.5;Malavita;Zwarte misdaadkomedie van de regisseur van Léon over een maffia-echtpaar (Robert de Niro en Michelle Pfeiffer) dat met hun gezin moet onderduiken in een Frans boerengehucht.
4.0;Gabrielle;Integer portret van een jonge vrouw met een verstandelijke beperking die haar emoties en hormonen de baas probeert te zijn. De officiële Canadese Oscarinzending.
3.0;Elle s'en Va;Voortkabbelende roadmovie met Catherine Deneuve als sprankelend middelpunt.
3.5;Blood Ties;Clive Owen en de rest van de cast houden Canets langdradige familiesaga boeiend.
3.5;Thanks for Sharing;Film over seksverslaving is pakkende mix tussen drama en feelgoodfilm.
2.0;Machete Kills;Het middendeel van Machete Kills is een opeenstapeling van extremiteiten, debiliteiten en excentriekelingen. Dit gaat ten koste van de immer coole Danny Trejo.
4.0;What Maisie Knew;Een aandoenlijk en aangrijpend drama over een echtscheiding gezien door de ogen van de zevenjarige dochter.
3.5;Insidious: Chapter ;Misschien niet zo sterk als het eerste deel, maar nog steeds een ijzingwekkende horror.
4.0;Workers;Minimalistische tragikomedie over de lotgevallen van twee Mexicaanse arbeiders fascineert en ontroert.
3.0;Jackass Presents: Bad Grandpa;Verkleed als bejaarde trekt Johnny Knoxville er met zijn kleinzoon op uit om Amerika op stelten te zetten. Ondanks de nieuwe opzet is de kans klein dat deze Jackass-spinoff nieuwe zieltjes zal winnen.
