stars;title;txt
4.0;Drakenjagers;Luchtkastelen en groenteballen  een visueel prachtig sprookje op grote hoogte.
2.5;African Bambi;De geboorte van drie gazellen geeft het startsein voor de film over hun eerste stappen en de gevaren waaraan ze blootstaan in het mooie Serengeti, Afrika.
3.5;Tricks;Hoe grappig, mooi en onbezonnen deze film ook mag overkomen, veel van de film vergeet je naderhand weer.
5.0;[REC];De engste en beste horrorfilm van dit decennium.
3.5;"Dunya &amp; Desie";Geen verhaal dat maandenlang door je hoofd blijft spoken, maar wel een fijn tijdverdrijf.
3.0;Dan in Real Life;Steve Carell wordt verliefd op Juliette Binoche. Jammer genoeg heeft zij al een vriendje... zijn broer!
3.0;The Ruins;Bevat misselijkmakend realistische special effects die gebrek aan logica of diepgang proberen te verbloemen.
4.0;La Graine et le Mulet;Couscous en dromen. De twee hoofdingrediënten van een vermakelijke film.
4.0;Cassandra's Dream;Vernieuwde Woody Allen in een Brits jasje levert een klassiek drama af.
2.0;Vantage Point;De film raakt verdwaald in zijn eigen rariteitenkabinet en mist een intelligent en subtiel script.
5.0;"Le Ballon Rouge &amp; Crin-Blanc";De tijdloze perfectie is er zonder moeite van af te zien.
2.5;Redacted;Slaat de plank helaas pijnlijk mis.
3.0;Shine A Light;Een concertregistratie van de Rolling Stones, uitstekend gefilmd door gerenommeerde cameramensen onder regie van Martin Scorsese.
4.0;It's A Free World...;Niet alleen alles, maar ook iedereen heeft een prijs: Its not a free world at all
3.0;The Fall;De mooie plaatjes en het prachtig naturel spelende hoofdrolspeelstertje ten spijt, is The Fall boven alles een ijdele film.
