stars;title;txt
3.0;I, Anna;Britse film noir met een immer intrigerende Charlotte Rampling die een politierechercheur datet die haar betrokkenheid bij een moord onderzoekt.
2.5;Bellas Mariposas;Merkwaardige film over een meisje dat zich staande moet houden in een kansarme wijk.
3.5;Man of Steel;Pompeuze maar verfrissende Superman-versie .
2.5;Gambit;Misdaadkomedie naar een scenario van de Coens.
4.0;Frances Ha;Fijn intiem drama over midtwintiger die haar leven richting probeert te geven.
2.0;The Last Sentence;Biopic over rebellerende Zweedse journalist tijdens de Tweede Wereldoorlog.
2.5;Disconnect;Een mozaïekfilm met een interessant thema. Twee van de drie verhaallijnen komen op bevredigende wijze samen.
3.0;Spijt!;Hoewel subtiliteit ver te zoeken is in deze zesde Carry Slee-verfilming, slaagt de film door het sterke eindstuk toch vrij goed in zijn opzet.
4.0;The Last Elvis;In dit gevoelige drama gelooft Carlos dat hij The King is. Dat de kijker in die illusie meegaat, is te danken aan de weergaloze vertolking van Elvis-zanger John McInerny.
2.5;Road Nort;Grootste troef in deze roadmovie van oude rot Mika Kaurismäki is de aanwezigheid van komiek en muzikant Vesa-Matti Loiri.
3.0;Only God Forgives;Nicolas Winding Refns nieuwste heeft dezelfde hoeveelheid geweld, neon en Ryan Gosling als Drive, maar mist de aangename eenvoud van die film.
5.0;Tabu;Een stilistisch prachtige film over herinnering en verlangen, vol melancholieke sfeer, mooie muziek en een tikje surrealistische humor.
2.0;After Eart;Dit familie-uitje van de familie Smith bewijst dat zoon Jaden nog een hoop kan leren van zijn vader Will.
4.0;Die Wand;Filosofisch kunstwerk.
4.5;Star Trek Into Darkness;J.J. Abrams tweede Star Trek-film bouwt voort op de themas uit de vorige en biedt daarnaast spektakel van de bovenste plank.
