stars;title;txt
2.0;The Boy Next Door;Lerares Jennifer Lopez beleeft een onenightstand met een leerling, die zich ontpopt tot psychopaat.
2.0;A Blast;Nodeloos ingewikkeld drama over een vrouw die het roer rigoureus omgooit. Inhoud wordt compleet overschaduwd door vorm.
4.0;Chappie;Neill Blomkamps nieuwste sf-film begint met een aantal merkwaardige plotelementen, maar wordt daarna steeds intrigerender.
2.5;American Sniper;Clint Eastwoods film over Amerikas dodelijkste scherpschutter is een onverholen eerbetoon aan een man wiens heldendom op zijn zachtst gezegd bedenkelijk is.
4.0;Keep On Keepin' On;Een simpele maar mooie documentaire over oude jazzlegende Clark Terry en zijn jonge blinde protegé.
4.0;A Pigeon Sat on a Branch Reflecting on Existence;Roy Andersson sluit zijn trilogie af in zijn karakteristieke stijlcombinatie van absurdisme, tragiek en sociaal commentaar.
3.5;Stand By Your President;Een Nederlandse, maar vooral persoonlijke blik achter de schermen van een bewogen periode in de geschiedenis van Georgië.
3.5;Walesa, Man of Hope;Boeiende biopic over Lech Wałęsa, Pools hoop in bange dagen. Vermakelijk als geschiedenisles, maar oppervlakkig als portret van de man.
2.0;Focus;Smakelijke oplichterspraktijken zouden de hoofdmoot moeten vormen in deze rommelige misdaadkomedie van de makers van I Love You Phillip Morris.
2.0;Seventh Son;Fantasiefilm waarin Jeff Bridges de strijd aangaat met Julianne Moore.
4.0;Wild;Krachtige biopic over een psychisch beschadigde vrouw die een voettocht van enkele duizenden kilometers onderneemt om zichzelf terug te vinden.
4.0;Ich Seh, Ich Se;Beklemmende arthousethriller met horrorelementen over tweelingbroertjes die ervan overtuigd zijn dat hun teruggekeerde gewonde moeder niet spoort.
2.0;Good People;Franco en Hudson zijn goede mensen, die toevallig met het criminele circuit in aanraking komen.
3.5;Elephant Song;Overbodige en tegelijkertijd intrigerende verfilming van gelijknamig theaterstuk.
3.0;Erbarme Dic;Gestileerde documentaire over de kracht van de Matthäuspassion.
