stars;title;txt
4.0;Annihilation;Ambitieuze scifi-film weet te overtuigen, verbazen en shockeren.
1.5;Death Wis;Dodelijk saai.
2.0;Mannen van Mars;Platvloerse grappen en gemakzuchtig schrijfwerk zetten de toon in deze Nederlandse komedie.
3.5;Bankier van het Verzet;Competente film over onbekende verzetsheld die eigenlijk een nóg betere film verdient.
4.0;Katie Says Goodbye;Katie is een zeventienjarige serveerster die haar lichaam verkoopt voor wat extra cash. Hoofdrolspeelster Olivia Cooke is betoverend.
3.5;Lucky;Een mooi, waardig laatste afscheid van Harry Dean Stanton, in zijn laatste hoofdrol.
2.5;Les Gardiennes;Tijdens de Eerste Wereldoorlog staan de vrouwen van een boerenfamilie in Frankrijk er alleen voor.
3.0;Film Stars Don't Die in Liverpool;Annette Bening als Gloria Grahame in haar laatste jaren.
3.0;Phantom Thread;De nieuwe kleren van de keizer.
3.5;Red Sparrow;Spannende spionagethriller waarin Jennifer Lawrence de macht over haar lichaam terugwint.
4.0;Jusqu'à la Garde;Veelbelovend regisseur Xavier Legrand gooit hoge ogen met onthutsend familiedrama.
2.0;Den of Thieves;Voor het maken van een Heat heb je Michael Mann nodig. Geen tweederangs David Ayer.
3.0;Game Night;Tumultueuze actiekomedie met satirisch randje, leuke rollen voor Rachel McAdams en Jesse Plemons, maar ook een gebrek aan focus.
3.0;Every Day;Poeslief paranormaal tienerdrama zet ondanks voor de hand liggende filmstijl toch aan tot een vluchtig moment van bezinning.
4.5;I, Tonya;Margot Robbie en Allison Janney stelen de show in deze biopic over Amerika's meest gehate én geliefde kunstschaatsster.
