stars;title;txt
4.0;The Weather Man;Ingetogen karakterstudie van de Amerikaanse neo-yuppie.
3.0;A Little Trip to Heaven;Het wil maar niet broeierig of intrigerend worden.
0.5;Hoodwinked;Een slecht verhaal, vervelende personages, geen humor, tenenkrommende liedjes en lelijke animatie.
2.0;The Fine Art of Love;Akelige film over jonge meisjes die rond de vorige eeuwwisseling heel streng worden opgevoed op een kostschool.
1.5;The Great Raid;The Great Raid is een saaie oorlogsfilm die niets aan het genre toevoegt.
3.5;Breakfast on Pluto;Vrij drukke film.
3.5;Burt Munro, The World's Fastest Indian;Anthony Hopkins tilt een anderszins clichématige film naar een hoger niveau en maakt er een plezierige film van.
4.5;Mission: Impossible III;Ongecompliceerd doch uiterst effectief verhaal dat ook nog eens de ruimte laat voor spektakel, vermakelijke spionageacties en humor.
2.0;Don;De flitsende cameravoering en dito montage hebben een aantrekkingskracht, maar de stereotypering doet Don de das om.
1.0;The Man;Een poging tot makkelijk scoren waar geen greintje bezieling in is gaan zitten.
3.5;[AFFF] Spider Forest;Een stijlvolle, Lynchiaanse thriller, waarin droom, hallucinatie en realiteit op ingenieuze wijze door elkaar lopen.
3.5;Three Times;Bij de fijntjes aangezette sfeer is het verhaal helaas van ondergeschikt belang.
4.0;[AFFF] Saint-Martyrs-des-Damnés;Eng sprookje met verbluffende visuele vondsten dat teveel tijd neemt voor de zoektocht naar een mysterie.
3.0;[AFFF] The Trip;Een charmante, maar slechts af en toe rake verbeelding van een LSD-ervaring in de eind jaren zestig.
5.0;[AFFF] The Masque of the Red Deat;Sprookjesachtige verfilming van Edgar Allan Poe, compleet met kasteel, folterkamers en gemaskerd bal.
