stars;title;txt
3.5;The Hills Have Eyes;Combineert de plastische gruwelijkheid van moderne horrofilms met de ambiance van het origineel.
5.0;Volver;Een ode aan de vrouw en haar overlevingskracht.
3.0;Romanzo Criminale;Drie jonge gangsters veroveren in de jaren 60 de onderwereld van Rome.
4.0;Miami Vice;Eerder een herschepping van dan een hommage aan de tv-klassieker van weleer.
3.5;The Lost City;Nostalgische, van tragiek doordrongen terugblik op het Havana van eind jaren vijftig.
2.0;Fragile;Makkelijk verteerbare horrorfilm richt zich op het wat jongere publiek.
1.5;You, Me and Dupree;In hun wanhopige zoektocht naar een sterke grap, worden ook de filmmakers van You, Me and Dupree in de valstrikken van het komediegenre gelokt.
4.0;The Wind that Shakes the Barley;The Wind that Shakes the Barley [recensie]
2.5;Superman Returns;Singer gaat voor menselijkheid en mythevorming, ten koste van speelsheid en lichtvoetigheid. Dat blijkt juist voor de Man van Staal de verkeerde aanpak.
3.5;Doodeind;Deze lekker enge, geslaagde horrorfilm vormt een goed begin van wat hopelijk zal uitgroeien tot een nieuwe generatie Nederlandse genrefilms.
2.5;Saba;Met dit charmante, wat voor de hand liggende drama onderzoekt regisseuse Nadda hoe je als Arabier en/of moslim in een westers land het geluk kunt vinden.
3.0;Il Caimano;Je zou willen dat zijn boodschap zo onomwonden was als die in het fictieve Il Caimano.
3.0;"The Fast &amp; The Furious: Tokyo Drift";Een plat verhaaltje over illegaal racen, doorspekt met een beetje romantiek en misdaad, fungeert als een platform voor spectaculaire stunts in snelle autos.
1.0;HellBent;Een groep bevriende, homoseksuele mannen wordt belaagd door een gemaskerde man met kwade zin.
2.0;Curious George;Alleen een aanrader voor de allerkleinsten.
