stars;title;txt
3.5;De Griezelbus;Een redelijk geslaagde, fantasievolle film.
2.5;Joyeux Noël;Duurt lang, erg lang.
2.5;In Her Shoes;Te pretentieus voor een lekker smeuïge chickflick.
4.0;"Hustle &amp; Flow";Dankzij een slim script met complexe, realistische personages, een onvoorspelbaar einde en uitstekend acteerwerk stijgt de film ver boven de middenmoot uit.
4.0;Broken Flowers;Een heerlijke film, om depressief van te worden.
3.0;Harry Potter and the Goblet of Fire;De plot wordt niet echt vooruit gestuwd, waardoor het een wat lange film is.
3.0;Domino;Qua uiterlijk een indrukwekkende kijkbeleving, qua inhoud niet.
3.0;Must Love Dogs;Net wat beter dan de gemiddelde romkom.
4.0;The Constant Gardener;Mereilles' eerse uitstapje naar de grote, boze filmwereld blijkt een voltreffer.
4.0;Serenity;Avontuurlijke science fiction-film met vaart, actie, spanning, drama en humor.
2.5;The Exorcism of Emily Rose;Deze film is in feite niet meer dan een zeer knap gemaakte commercial voor de katholieke Kerk.
3.0;Dark Water;Op alle fronten ietsje beter dan zijn voorganger.
3.5;Diep;"Geen bloed, geen bommen, geen glitter en glamour en (bijna) geen drugs; déze film haalt zijn drama uit puberverwarringen en interne conflicten."
3.0;Inside Deep Throat;Onderzoekt het succes van de beruchte seksfilm.
2.5;Proof;Wat ongeïnspireerd, maar prima gespeeld.
