stars;title;txt
1.5;The Change-Up;Alsof de platte humor en de vele plotgaten nog niet genoeg zijn, behandelt The Change-Up zijn kijkers ook nog eens als een stel eencellige idioten.
5.0;The Turin Horse;De laatste film van de Hongaarse cineast Béla Tarr schrikt af door de sobere setting, dertig lange trage shots en gebrek aan plot. Als je je eraan overgeeft, beleef je een meesterwerk.
1.0;Abduction;Het niveau van deze film is op elk vlak bedroevend laag.
3.0;Restless;De acteurs blinken uit in een film die weinig fout doet, maar zich niet onderscheidt.
1.5;All Stars 2: Old Stars;Moeilijk te geloven maar waar: voetbal is voor de Swift Boys de onbelangrijkste bijzaak van allemaal geworden in dit overbodige en oninteressante vervolg.
3.0;The Three Musketeers;Gelukkig niet zo bloedserieus als Andersons sf-films. Vaak over de top, maar dat zorgt voor lekker ongecompliceerd vermaak.
2.5;Footloose;Deze remake komt door de hedendaagse aanpassingen nog best aardig uit de verf, maar het scenario piept en kraakt aan alle kanten.
3.0;Razend;Deze vijfde Carry Slee-verfilming is meer van hetzelfde. Regisseur Dave Schram verstaat wederom zijn vak, maar is toe aan nieuw bronmateriaal.
4.5;Warrior;Warrior doorstaat moeiteloos de vergelijking met Rocky en Raging Bull en weet met eigen kwaliteiten een plekje in de geschiedenis van de boksfilms te veroveren.
2.0;Johnny English Reborn;Er is duidelijk meer aandacht besteed aan het verhaal dan aan nieuwe grappen.
2.0;Body Language;Deze eerste echte Hollandse dansfilm heeft te kampen met het voor het genre kenmerkende zwakke plot. De danssequenties en choreografieën stellen daar echter weinig tegenover.
4.5;The Lion King 3D;Een van Disneys beste films is opnieuw te bewonderen in de bioscoop. In 3D dit keer, maar dat is niet meer dan een aardigheidje.
2.0;Bennie Stout;Deze toevoeging aan het Sinterklaasgenre is oubollig en buitengewoon kneuterig. Johan Nijenhuis doet een flinke stap terug in de tijd en onderschat zijn doelgroep.
3.5;Fright Night;De remake van de cultklassieker over een tiener die ontdekt dat zijn buurman een vampier is. Een vermakelijke combinatie van humor, actie en spanning.
3.0;De Bende van Oss;Brabothriller, losjes gebaseerd op de roemruchte bende. De overdaad aan thema's en de sterke vertolkingen houden elkaar in balans, maar het beklijft n
