stars;title;txt
2.0;Che: Part Two;Wederom biedt Soderbergh geen inzicht in de persoon Che Guevara, maar levert  een deprimerend feitenverslag over zijn laatste levensjaar af.
2.5;"Fast &amp; Furious";De actie is zo nu en dan behoorlijk goed, maar de rest van de film stelt weinig voor.
2.5;The Reader;The Reader gaat voor mooifilmerij en sentiment, maar haalt hiermee de angel uit een veel belangrijker en groter verhaal dat in het boek van Bernhard Schlink zo sterk doorklinkt.
2.5;Monsters vs. Aliens;Te fantasievolle animatiefilm over een monsterlijk team dat de aarde moet redden van een gestoord buitenaards wezen - al zijn ze zelf ook verre van normaal.
1.5;Bride Wars;Kinderachtige komedie waarin twee hartsvriendinnen elkaars bruiloft kapot proberen te maken om hun eigen droomhuwelijk te redden.
1.5;The Unborn;Aaneenschakeling van David S. Goyers favoriete elementen uit andere horrorfilms aangevuld met eigen fantasieën, is niet eng of interessant.
2.5;Bollywood Hero;In Bollywood Hero wil Diederik van Rooijen te veel in te weinig tijd. De film oogt echter wel heel erg aardig.
3.0;Che: Part One;Portret van Che Guevara tijdens de verovering van Cuba mist vaart en diepgang. De finale is wél goed gedaan
3.0;The Duchess;Een onvervalst kostuumdrama, maar met toegevoegde waarde.
3.0;Defiance;Waargebeurd verhaal over Joodse verzetsstrijders die tijdens de Tweede Wereldoorlog twaalfhonderd Joden in de dichte bossen voor de Duitsers verborgen wisten te houden.
4.5;Klass;Hoe pesten gewelddadige gevolgen kan hebben. Een beklemmende film waarin een complex en schrijnend groepsproces wordt blootgelegd.
2.5;Confessions of a Shopaholic;In de verfilming van Sophie Kinsellas Shopaholic-boeken is hoofdpersoon Becky overtuigend koopverslaafd, maar de romance met haar baas weet geen seconde te boeien.
4.0;Tokyo Sonata;Geen horror dit keer van Kiyoshi Kurosawa. Wel een beklemmende film over het moderne leven.
4.0;Two Lovers;Joaquin Phoenix schittert in sterk liefdesdrama met boeiende nuances.
3.5;Gran Torino;Een formidabele en waarschijnlijk laatste acteerprestatie van Clint Eastwood maakt deze simplistische film de moeite waard.
