stars;title;txt
2.5;Eastern Boys;Mix van drama en psychologische thriller, over een affaire tussen een immigrant en een vereenzaamde vent.
3.0;Oorlogsgeheimen;Regisseur van Achtste Groepers Huilen Niet verfilmt opnieuw een mooi boek van Jacques Vriens.
4.0;Encierro: Stierenrennen in Pamplona;Fascinerend en spectaculair in beeld gebracht inkijkje in het onbegrijpelijke fenomeen van het stierenrennen in het Spaanse Pamplona.
4.0;How to Train Your Dragon ;Ook al is het nieuwe er een beetje vanaf, dit vervolg op de geanimeerde hit uit 2010 heeft een groot hart op de juiste plaats.
3.5;The Two Faces of January;De scenarist van Drive verfilmt Patricia Highsmith-klassieker.
4.0;The Double;Jesse Eisenberg speelt een ijzersterke dubbelrol in deze sfeervolle film gebaseerd op werk van Dostojevski.
1.5;The Love Punc;Met zulke fijne Britse acteurs aan boord lopen de verwachtingen van deze Engelse klucht hoog op.
3.0;Bon Dieu!;Deze komedie was in Frankrijk het grootste bioscoopsucces sinds Intouchables.
2.5;Una Via a Palermo;Komisch drama over twee autos die met de voorbumpers tegen elkaar komen te staan in een smal straatje. De bestuurders vertikken het om voor de ander te wijken.
2.0;Koemba: De Zebra Die Zijn Strepen Kwijt Is;Mooi geanimeerde safarifilm in de geest van Madagascar en The Lion King komt helaas niet in de buurt van het niveau van zijn voorbeelden.
3.0;Jersey Boys;Clint Eastwood presenteert het verhaal van Frankie Valli en zijn legendarische Four Seasons. Zoals het Eastwood betaamt, ligt de nadruk het sterkst op het drama.
2.0;Transcendence;Wally Pfisters regiedebuut is een thriller over kunstmatige intelligentie, met een ernstig gebrek aan daadwerkelijke intelligentie.
4.5;Deux Jours, Une Nuit;De Dardenne-broers komen met een van hun beste werken. Niet in de laatste plaats te danken aan het geweldige spel van Marion Cotillard.
3.0;We Are What We Are;Duistere familiegeheimen en gruwelijke tradities vormen het decor van deze sfeervolle horror.
1.0;Walking on Sunshine;De jaren tachtig zijn uit de mottenballen gehaald voor deze zomerse musical die draait om liefde, vriendschap, een huwelijk en onbereikbare Italianen.
