stars;title;txt
2.0;Goya's Ghosts;Begint sterk, maar slaat halverwege een niet boeiende weg in.
3.0;Shooter;Lange wraakoefening met werkelijk verbluffende explosies en testosteronverhogende actiescènes.
2.0;The Good German;Een mislukt experiment van Steven Soderbergh.
4.5;Inland Empire;Onvergetelijke ervaring vol beelden die op het netvlies blijven branden.
4.5;Hot Fuzz;Dit is toch eigenlijk wel de grappigste film van de laatste jaren.
4.0;Nue Propriété;Beklemmend, soms wat theatraal portret van gezinsverdriet.
5.0;Night of the Hunter;De expressionistische compositie, het verbluffende camerawerk, de meesterlijke rol van Mitchum en het duistere, sprookjesachtige script maken dit een waar meesterwerk.
4.5;Curse of the Golden Flower;Nieuwe triomf voor Zhang Yimou. Elk frame is een lust voor het oog.
2.0;Ghost Rider;Film met slap script dat geen keuze maakt tussen de romantiek en het actiespektakel.
4.0;"Shut Up &amp; Sing";Het is vooral een mooi portret van de Dixie Chicks, drie sterke vrouwen en getalenteerde muzikanten.
4.0;Anche Libero Va Bene;Het pretentieloze, onverbiddelijke script raakt in combinatie met de vlekkeloze regie en de sterke casting vele snaren en laat je uitgeput achter.
4.5;"The Monastery  Mr. Vig &amp; The Nun";Tijdloos document waarin je van de ene verwondering in de andere valt.
4.0;300;Solide actiefilm met mooie effecten, een goed verhaal en gedegen camerawerk en editing.
3.0;Death of a President;Na afloop vooral als technisch geslaagd maar inhoudelijk erg overbodig.
2.0;Offside;Bijna ondraaglijke opeenvolging van schreeuwende amateuracteurs die een en hetzelfde punt duidelijk maken.
