stars;title;txt
2.5;The Hundred-Foot Journey;Een pas geëmigreerde Indiase familie gaat de concurrentiestrijd aan met een Michelin-restaurant in een klein Frans dorpje.
3.5;In Jouw Naam;Drie jaar na Onder Ons is in de vinexwijk van Marco van Geffen nog altijd weinig vrolijkheid te bespeuren.
2.5;Johan en de Verenkoning;Kinderfilm over rouwverwerking verpakt als fantasierijk animatieavontuur.
3.0;Dummie de Mummie;Een kinderboek over een Egyptische mummie in een Nederlands polderlandschap wordt verfilmd als spaghettiwestern. Wie weet waarom mag het zeggen.
1.0;Drift;Performancekunst moet je liggen. De vorm waarin het gegoten wordt is allesbepalend, dat bewijst dit Vlaamse project wel.
4.0;Trippel Trappel: Dierensinterklaas;Origineel en liefdevol gemaakt kinderavontuur. Zo kan een Sinterklaasfilm dus ook zijn.
3.0;Hocus Pocus met Alfons Alfrink;Kleurrijke animatiefilm voor de kleintjes.
2.5;Wonderbroeders;Deze komedie van de makers van De Marathon gooit het over een wat serieuzere boeg. Dit pakt ondanks de geweldige cast niet altijd even wonderlijk uit.
4.0;Gone Girl;Sterk opgebouwd en intrigerend gelaagd, deze nieuwste thriller van David Fincher.
4.0;Bittersweet;Een fascinerende documentaire over de doorzettingsdrift van een vrouwelijke bokser die plotsklaps verandert in een nachtmerrie met vergaande gevolgen.
4.0;Brozer;Een intrigerende, indrukwekkende en intieme film over het sterfproces en hoe we daar mee om (kunnen) gaan.
3.0;Hollywood Banker;Door filmpassie speelde Nederlander Frans Afman een belangrijke rol in het veranderen van het financieringssysteem in de onafhankelijke Amerikaanse filmindustrie.
2.0;Annabelle;Na haar overtuigende debuut in The Conjuring mag de enge pop Annabelle nu proberen ons in haar eigen film de stuipen op het lijf te jagen.
2.0;11 - Het Spel van de Wolf;De moord op Theo van Gogh had voorkomen kunnen worden. Was dat maar gebeurd. Dan was de film die dat verkondigt ons bespaard gebleven.
2.5;Master of the Universe;Een voormalig bankier klapt uit de school over de onoorbare praktijken waar hij jarenlang aan meewerkte en een fortuin mee verdiende.
