stars;title;txt
4.0;Goodbye Solo;Derde film van de new great American director is een fijne en bijzondere vertelling over een onwaarschijnlijke vriendschap.
3.0;Les Regrets;Het vuur laait op tussen twee exen, maar de gevolgen zijn niet zo interessant als de maker zou willen.
4.5;Das Weiße Band;Michael Hanekes nieuwste, over een mysterieuze Duitse dorpgemeenschap, is weer een uiterst fascinerende film. Dit keer subtiel, minder gewelddadig en nauwelijks shockerend.
3.0;A Christmas Carol;Visueel is A Christmas Carol spectaculair, maar de humanistische themas van het onvergetelijke verhaal komen er wel erg karig van af.
3.5;Nort;Drank, sneeuw en depressie lijken dé ingrediënten voor een dieptreurig Scandinavisch drama. Dat er een montere, soms zelfs hilarische film van te brouwen is, bewijst dit regiedebuut.
3.0;The Twilight Saga: New Moon;Vervolg op het immens succesvolle Twilight heeft nog steeds last van het belabberde bronmateriaal, maar is qua film beter geslaagd dan het eerste deel.
1.5;Couples Retreat;Enkele aardige grappen zijn niet genoeg om deze flauwe en te lange komedie leuk te maken.
4.0;Whatever Works;Larry David en Evan Rachel Wood spatten van het scherm in Woody Allens nieuwste film Whatever Works. Cynisme was nog nooit zo leuk.
2.0;The Time Traveler's Wife;Belachelijke film over tijdreizen neemt zichzelf veel te serieus. Het zou lachwekkend zijn als het allemaal niet zo deprimerend werd gebracht.
4.0;Zonder Pardon;Scherpe, hilarische theatervoorstelling van Theo Maassen die nu ook in de bios is te zien.
3.0;01;Alles mag kapot in 2012, de nieuwste rampenfilm van Roland Emmerich die alle andere rampenfilms overbodig moet maken.
2.0;Love Happens;Halfslachtige poging tot een drama over rouwverwerking laat een zwakke indruk achter doordat de genreconventies van de romantische komedie niet opzij worden geschoven.
3.5;Terribly Happy;Deense Oscarinzending van dit jaar is een heel aardige kruising tussen een spaghettiwestern, een Coen-film en talloze andere filmgenres.
3.5;Orphan;Keurige horrorthriller over een geadopteerde wees die niet zo onschuldig is als ze lijkt. Isabelle Fuhrman geeft op schitterende wijze gestalte aan het enfant du diable.
3.5;Le Hérisson;Egels en zingeving. Van levensbelang in de wereld van een elfjarige.
