stars;title;txt
2.5;Bekas;Twee dakloze broertjes zetten alles op alles om naar Amerika te kunnen gaan.
1.5;Marriage à Mendoza;Franse roadmovie over twee broers die de bruiloft van een neef in Argentinië willen bijwonen en ondertussen elkaar en zichzelf beter leren kennen.
4.0;Monsters University;De eerste Pixar-prequel teert niet gemakshalve op bestaande successen, maar voegt er een heleboel aan toe. Er komt nog heel wat kijken bij het laten schrikken van bange kindjes.
3.0;World War Z;Deze wel heel vrije boekverfilming herschrijft het zombiegenre weliswaar niet, maar biedt voldoende actie en spanning. De plaatjes en visuele effecten springen er het meest uit.
4.5;Kapringen;Opnieuw een parel uit Denemarken. Tobias Lindholm heeft met Kapringen een indrukwekkend, aangrijpend en in alle opzichten waanzinnig gijzelingsdrama gemaakt.
3.0;Tula: The Revolt;Nederlandse actiefilm die het slavernijverleden op Curaçao als onderwerp heeft.
3.5;Les Beaux Jours;Over de worsteling van het ouder worden.
1.5;Love and Honor;Liefde voor het meisje of liefde voor het vaderland. Twee Vietnamsoldaten kunnen er maar niet tussen kiezen.
3.5;Despicable Me ;Niet alle nieuwe elementen werken even lekker, maar alle bekende uit de vorige film doen het nog zeer goed in dit frisse vervolg.
1.5;Catch .44;Er wordt flink geknipoogd naar het werk van Quentin Tarantino in deze misdaadthriller met bijrollen voor Bruce Willis en Forest Withaker.
1.0;The Babymakers;Komedie van de maker van The Dukes of Hazzard over een vriendengroep die een spermabank berooft. Je moet ervan houden.
2.5;Foxfire;Langdradige clichématige girlpowerfilm.
3.0;Now You See Me;Net als een goede goocheltruc is Now You See Me voornamelijk show, maar is desondanks zeer vermakelijk.
3.5;The Sapphires;Deze Australische variant op 'The Commitments' schuwt de clichés niet maar heeft het hart op de juiste plaats.
2.5;Infancia Clandestina;Waargebeurd verhaal over de zoon van politiek activisten die onder een valse identiteit in het Argentinië van eind jaren zeventig kennismaakt met zijn hormonen.
