stars;title;txt
2.5;Sucker Punc;Op het gebied van actie heeft Zack Snyders nieuwste een hoop te bieden, maar voor de rest...
4.0;The Fighter;Genomineerd voor zeven Oscars. Uiteindelijk winnaar van precies de juiste twee.
3.5;Drei;Gitzwarte existentialistische komedie van Tom Tykwer.
3.0;The Adjustment Bureau;Debuterend regisseur George Nolfi legt zijn boodschap er dik bovenop, maar levert wel een vermakelijke en inventieve sf-film
3.5;Pieds Nus;Diane Kruger en Ludivine Sagnier schitteren in een verhaal over twee zussen op het Franse platteland.
2.0;Last Night;Waarom acteurs als Keira Knightley, Eva Mendes en Sam Worthington akkoord gingen met zon belachelijk slecht scenario, zal wel voor altijd een raadsel blijven.
3.5;Get Low;Get Low is een historisch drama over de invloed van trauma dat het vooral  moet hebben van het sterke acteren van ondermeer Robert Duvall en Bill Murray.
4.0;Blue Valentine;Sterk gespeeld huwelijksdrama wordt steeds aangrijpender door het heden en verleden met elkaar te verweven én te laten contrasteren
3.0;The Mechanic;Heerlijk Statham-vehikel doet precies wat je van een huurmoordenaar/actiefilm mag verwachten.
3.0;Sanctum 3D;Oppervlakkig verhaal diep onder de grond, dat nog aardig uitpakt dankzij het slimme gebruik van 3D.
4.0;Tuesday, After Christmas;Ook dit beklemmende relatiedrama laat zien dat de Roemeense golf nog lang geen slijtage vertoont.
3.0;The Hole 3D;In Joe Dantes nieuwste horror neemt het drama de overhand, wat ten koste gaat van de frisheid die zijn eerdere films kenmerkte. De 3D-vormgeving is gelukkig goed verzorgd.
1.5;Big Mommas: Like Father, Like Son;Derde deel in de Big Momma-reeks is vooral een derderangs variant met een matig musicalsausje.
4.0;Hereafter;Clint Eastwood vertoont nog geen tekenen van slijtage, ook niet met deze intelligente, ontroerende film over de dood en alles wat daarmee gepaard gaat.
2.0;I Am Number Four;Twee soorten aliens vechten een vete uit op aarde. De leden van de ene groep aliens zijn heel lekker, dus de kijker kiest partij voor hen.
