stars;title;txt
4.0;Eddie the Eagle;Eddie Edwards, de legendarische schansspringer, is de ultieme underdog. Een gouden filmpersonage, zelfs als je de werkelijkheid een beetje verdraait.
4.5;Land of Mine;Aangrijpende film over een onderbelicht deel van de Europese geschiedenis.
3.0;Experimenter;Stanley Milgram voerde in de jaren zestig een spraakmakend onderzoek naar menselijke gehoorzaamheid uit. Zijn experiment is nog altijd even intrigerend.
3.5;El Abrazo de la Serpiente;De Amazonerivier vormt de leidraad voor twee net niet genoeg met elkaar verstrengelde verhaallijnen.
2.0;Moonwalkers;Een CIA-agent en een bandmanager moeten de maanlanding ensceneren. Als dat maar goed gaat. Niet dus, want deze flauwe komedie tapt te veel uit hetzelfde vaatje.
3.5;Full Contact;Wat gaat er om in het hoofd en hart van een dronepiloot die met een joystick en monitor op veilige afstand de vijand bevech
3.5;Batman v Superman: Dawn of Justice;Kan het titanengevecht tussen 's werelds meeste bekende superhelden het tij van de publieksgunst keren richting DC
3.0;Risen;De wederopstanding van Jezus Christus vanuit het perspectief van een Romeinse soldaat. Een prima tussendoortje voor tijdens het Paasweekend.
4.0;Krigen;Zo meeslepend en ontwrichtend als Kapringen is Krigen niet, maar wat is de Deense Tobias Lindholm een getalenteerde en ongeëvenaard fijngevoelige filmmaker.
4.0;De Helleveeg;Verfilming van de gelijknamige roman van A.F.Th. van der Heijden met een weergaloze en complexe hoofdrol voor Hannah Hoekstra.
4.0;Where to Invade Next;Documentairemaker Michael Moore is onverminderd kritisch op de Verenigde Staten, maar uit dat ditmaal met aanstekelijke zelfspot en optimisme.
4.5;Mountains May Depart;Op intieme wijze legt Jia Zhangke China weer kritisch onder de loep, met behulp van o.a. de Pet Shop Boys.
2.5;Transit Havana;Documentaire over transgenders in Cuba die wachten op een levensveranderende geslachtsoperatie.
1.5;Historys Future;Deels fictie, deels documentaire, maar voornamelijk moeilijk te doorgronden studie van het hedendaagse Europa.
4.5;Brooklyn;Betoverend verhaal over heimwee en belangrijke levenskeuzes.
