stars;title;txt
4.0;"Fast &amp; Furious 5";"Het gebeurt niet vaak, maar het vijfde deel in de Fast &amp; Furious-franchise is zonder enige twijfel het beste van de reeks."
4.0;Inside Job;Oscarwinnende documentaire laat op haarfijne, duidelijke wijze zien wat die economische crisis nu precies inhield en wie ervoor verantwoordelijk was.
3.5;Water for Elephants;Robert Pattinson heeft eindelijk een kleurtje op de wangen en ook het romantische circusbestaan komt helemaal tot leven.
4.0;Autumn Gold;Een ode aan de onmetelijke kracht van de mens, uitgedrukt in sportprestaties en leeftijd.
2.0;Mother's Day;Weinig beklijft aan dit amalgaam van jatwerk uit andere films. Nou vooruit: Rebecca De Mornay vergeet je niet zo snel.
3.0;Arthur;De eerste hoofdrol van Russell Brand is hem op het lijf geschreven: een altijd dronken multimiljonair.
4.5;Never Let Me Go;Mark Romaneks verfilming van Kazuo Ishiguros bestseller levert een nieuw Brits meesterwerk op.
4.0;Kaboom;Drank, drugs en heel veel seks vormen de belangrijkste bestanddelen van deze even krankzinnige als vermakelijke film van Gregg Araki.
3.0;The Lincoln Lawyer;Matthew McConaughey is perfect gecast als macho-advocaat in deze verder weinig bijzondere advocatenthriller.
4.0;Neds;Inktzwarte film van Peter Mullan over een jongen die het verkeerde pad opgaat is deprimerend, maar erg sterk gemaak
4.0;Monsters;Guerrilla-filmmaken voor gevorderden.
3.5;Balada Triste de Trompeta;Twee rivaliserende, misvormde clowns vechten om de vrouw van hun dromen in deze bizarre Spaanse genrefilm.
3.5;Mammut;Gérard Depardieu maakt in Mammuth maar weer eens duidelijk hoe groot het verschil tussen een acteur en een filmster kan zijn.
4.0;Attenberg;Absurdistische Griekse film over een meisje dat problemen heeft met volwassen worden.
4.0;Thor;Met veel visuele donderslagen en bliksemsnelle actie introduceert Marvel Studios opnieuw één van The Avengers.
