stars;title;txt
4.0;Diana Vreeland: The Eye Has to Travel;Een lofzang op mode-, stijl- en tijdschriftenicoon Diana Vreeland, zonder wie er nooit een Anna Wintour zou zijn geweest. Een intrigerend document van een fascinerende vrouw.
2.5;Bellicher: Cel;Jason Bourne in de polder: Hoezeer Daan Schuurmans ook zijn best doet, Bellicher: Cel verzandt in simplisme en knulligheid.
2.5;Faust;Een verfilming van het klassieke verhaal die technisch zowel overweldigend als enorm frustrerend is.
2.0;Voor Ik Doodga;Dakota Fanning met een Brits accent is nog het minste probleem van dit veilige, vermijdende jeugddrama over een meisje aan het eind van haar leven.
3.5;Mees Kees;In het aarzelende begin ligt de nadruk te sterk op lichtvoetige humor, maar daarna weet deze jeugdboekenverfilming zich tijdig te herpakken.
4.0;Nono, het Zigzag Kind;Spannende avonturenfilm over de zoektocht van een dertienjarige jongen naar de geschiedenis van zijn overleden moeder, wordt opgeluisterd door internationale sterrencast.
2.5;"De Club van Sinterklaas &amp; Het Geheim van de Speelgoeddokter";De Club van Sinterklaas krijgt zijn eigen bioscoopfilm. Helaas zijn de avonturen zouteloos en is het verhaal, alleen al door het vele gesponsorde snoepgoed, vooral te zoet.
4.0;Hope Springs;Meryl Streep en Tommy Lee Jones zijn lekker op dreef als een ingekakt seksloos echtpaar. Het resultaat is een sensitief drama dat minder komisch en plat is dan de trailer suggereert.
3.5;Savages;Oliver Stone doet waar hij goed in is met deze ouderwets brute film vol bekende gezichten.
2.5;Being Flynn;Deze verfilming van de autobiografie van schrijver Nick Flynn mag zich verheugen op een imposante cast, maar weet er door het gebrek aan focus weinig bijzonders van te brouwen.
2.5;Love Is All You Need;Tragikomisch familiedrama van Susanne Bier met sterk acteerwerk, waarin een van kanker herstelde kapster een band opbouwt met de vader van haar aanstaande schoonzoon.
4.0;L'Amour des Moules;Een fascinerende en gevarieerde documentaire van eigen bodem over alle aspecten van de mossel. Het doet je met andere ogen kijken naar het schelpdier.
1.5;Bait;Het zal geen verrassing zijn dat deze haaienhorror niet kan tippen aan Jaws, maar de klassieker van Steven Spielberg heeft de Australische makers ook niet kunnen inspireren lijkt het.
3.0;Simon;Een film over het uitkomen van familiegeheimen en de zoektocht naar je eigen ik.
3.0;Shadow Dancer;Een degelijke, weinig opmerkelijke spionagethriller waarin een Ierse vrouw gedwongen wordt haar eigen familie te bespioneren.
