stars;title;txt
4.5;Sideways;Sideways een prachtig staaltje werk.
4.5;Ray;Een uitstekende en ontroerende film.
2.0;Casshern;Pseudo-diepzinnige kolder, waarbij spetterende actie hinderlijk wordt onderbroken door moralistisch geneuzel.
3.5;The SpongeBob SquarePants Movie;Een hoog tempo met veel grappen, maar wel aangepast aan de lengte van de film zodat het niet te veel wordt.
4.0;The Edukators;Een groepje jonge Duitse idealisten onderzoekt de mogelijkheden tot subversiviteit en rebellie.
3.5;046;De complexe structuur en de vele manieren waarop je de film kunt bekijken, maken bovendien dat je voortdurend het gevoel hebt dat iets je ontgaat.
4.0;Closer;De film bevat erg goede dialogen die krachtig worden geuit door de vier hoofdrolspelers.
4.0;IFFR 2005: Howl's Moving Castle;Een aanrader voor iedereen die ware verbeeldingskracht weet te waarderen.
4.0;The Aviator;Scorsese is er niet in geslaagd de verschillende verhaallijnen tot een sterk geheel te smeden.
5.0;House of Flying Daggers;Opnieuw een oogstrelend spektakel van Zhang Yimou, dat vooral visueel imposant is, maar daarom niet minder is op andere gebieden.
4.0;Genesis;Het is een sprookje, verteld met indrukwekkende beelden, ondersteund door prachtige en uiterst doeltreffende muziek.
2.5;National Treasure;Een boel lollige onzin gestoken in een leuk jasje.
4.0;Un Long Dimanche de Fiançailles;De Franse regisseur weet opnieuw te bekoren met schitterende plaatjes en tot de verbeelding sprekende details, maar laat hier en daar de kern van zijn verhaal ondersneeuwen.
2.0;Alfie;Het origineel met Michael Caine was typerend voor de Swinging Sixties, maar deze remake kan die relevantie niet vertalen naar onze tijd, en is daarmee nogal overbodig.
4.0;Garden State;De film heeft een vreemd, surrealistisch tintje, maar is hartverwarmend, integer en oprecht.
