stars;title;txt
2.0;The Forest;De boswandelaars waren nog zó gewaarschuwd: ga niet van het pad af! Hadden de makers van dit dertien-in-een-dozijn-schrikfestijn zich maar niet aan dat advies gehouden.
2.5;Les Innocentes;Russische soldaten hebben een vredig kloosterbestaan verwoest. Negen maanden na hun bezoek staat de ene na de andere non op het punt van bevallen.
3.5;"Arabian Nights: Volume 1, 2 &amp; 3";Indrukwekkend, maar lang drieluik waarin oude mythes en moderne economische malaise mooi samenkomen.
3.0;Ik Wil Gelukkig Zijn;Regisseur Annette Apon brengt Hollands eerste diva Fien de la Mar tot leven.
3.5;Bang Gang (A Modern Love Story);Debuutfilm probeert meer te zijn dan een platte seksfilm, maar slaagt daar niet helemaal in.
3.5;10 Cloverfield Lane;Een enerverende beklemmende thriller die nooit deze titel had mogen krijgen. Die verknalt namelijk een heleboel.
3.0;The Divergent Series: Allegiant;Net als de vorige delen in deze reeks is ook de derde film weer net goed genoeg.
4.0;Belgica;In het ongepolijste en eigengereide Belgica sleurt Felix van Groeningen je mee in de opkomst en ondergang van een Gentse kroeg en de broers die m bestieren.
3.5;Tanna;Standaardliefdesverhaal haalt profijt uit bijzondere setting.
4.0;The Event;Regisseur Sergei Loznitsa laat een revolutie zien zoals we zelden zagen: op straatniveau, zonder de minste uitleg. Het resultaat is even verwarrend als boeiend.
3.0;Rokjesdag;De nieuwe Nijenhuis is van het niveau dat we van hem gewend zijn. Nijenhuis doet waar hij goed in is. Niets mis mee, maar het zal niet iedereen kunnen bekoren.
4.5;Room;Krachtige boekverfilming over een moeder en zoon die uit hun jarenlange gevangenschap weten te ontsnappen en geconfronteerd worden met de wrede buitenwereld.
2.0;London Has Fallen;Gerard Butler knokt zich door hordes terroristen om de president te beschermen.
2.0;Alias Maria;Over de voortslepende guerrillastrijd voor de rechten van vrouw en kind.
3.5;Préjudice;Knap regiedebuut met gebrek aan context, maar toch genoeg diepgang.
