stars;title;txt
2.0;Charlie St. Cloud;Zac Efron doet een nieuwe poging tot serieus acteerwerk in drama met een hoog I see dead people-gehalte.
3.0;Slovenian Girl;Sloveense film over een studente die bijklust als prostituee is adequaat, maar niet heel erg bijzonder.
2.0;Red;Ondanks namen als Willis, Freeman, Malkovich en Mirren blijkt de actiekomedie Red simpelweg een gemiste kans.
4.0;The Killer Inside Me;Gebaseerd op de gelijknamige pulproman van Jim Thompson. In de nieuwste film van Michael Winterbottom gaat het er niet zachtzinnig aan toe.
3.0;Briefgeheim;Tweede verfilming van een boek van Jan Terlouw, na Oorlogswinter, is ondanks een aantal forse gebreken een spannende jeugdfilm.
4.0;"Lang &amp; Gelukkig";"Pieter Kramer en Arjan Ederveen werkten samen aan Creatief met Kurk, 30 Minuten en Theo &amp; Thea. De kenmerkende gortdroge humor wordt weer uitstekend benut in deze musical."
2.0;Life as We Know It;Overgevende baby? Check! De gruwelen van het verschonen? Check. Gestreste (pleeg)ouders? Check...
3.0;Schemer;Geïnspireerd op een waar gebeurd verhaal. Dat klinkt altijd indrukwekkend, maar de makers maakten helaas grote aanpassingen in het originele verhaal.
4.0;Despicable Me;Schurken zijn de nieuwe helden in hilarische animatiefilm zonder grote pretenties, maar met zeer veel geslaagde grappen.
3.0;The New Daughter;Opnieuw een thriller waarin een kind zich vreemd gedraagt. Niet altijd even consistent, maar hij krijgt je wel op het puntje van je stoel.
2.5;Eat Pray Love;Verfilming van vrouwenbestseller is verzorgd, maar stapelt zoals te verwachten het ene cliché op het andere.
4.0;Snel Geld;Misdaadmozaïek van regisseur Daniel Espinosa onderscheidt zich door een flink staaltje lefgozerij van de makers.
2.0;La Notte;Een puur intellectuele ervaring van saaie, doodse klassieke Italiaanse kunstcinema.
3.0;The Tree;Redelijk drama dat te diep geworteld is in allegorische zaken en zich te weinig vertakt in geloofwaardigheid.
3.0;Cosa Voglio di Piu;Italiaans overspeldrama van Silvio Soldini is aan de lange kant, maar blijft interessant door een uitstekend acterende Alba Rohrwacher.
