stars;title;txt
5.0;Le Père de Mes Enfants;Voortreffelijke film van de nog maar 28-jarige Mia Hansen-Løve voelt soms zo realistisch aan dat je geregeld het gevoel krijgt naar iets te kijken dat eigenlijk te persoonlijk is.
2.5;Remember Me;Twilight-ster Pattinson doet wat er van hem verwacht wordt in gemiddeld romantisch drama.
3.0;Nowhere Boy;Moederperikelen van een jonge John Lennon leveren een mooie film over een jongen die opgroeit in de jaren zestig op, maar ook een film die weinig te bieden heeft voor Beatlesfans.
1.5;The Bounty Hunter;Ronduit zwakke actieromkom, met als enige lichtpuntje de hoofdrolspelers Aniston en Butler.
3.0;No One Knows About Persian Cats;De in Iran vervolgde regisseur Bahman Ghobadi toont in deze langdradige maar oprechte muziekfilm de rebelse, hippe kant van zijn land.
3.0;Pope Joan;Een degelijke doch bloedeloze verfilming van de mythe van de vrouwelijke paus.
4.0;The Messenger;Klein gehouden drama over ex-soldaten en duistere functies in het leger overtuigt door sterk spel en goed geschreven scèn
1.5;Something Unknown;Paranormaalheid bestaat! Je zou het bijna denken na het zien van deze documentaire. Een goed verstaander kan deze film echter eenvoudig afrekenen op zijn tekortkomingen.
3.5;Millennium 3: Gerechtigheid;Het laatste deel in de Millenniumreeks weet de kracht van deel één te hervatten, maar stijgt nergens tot grote hoogten.
3.0;Crazy Heart;Jeff Bridges won een terechte Oscar voor zijn rol als alcoholverslaafde countryzanger in een film die als geheel weinig bijzonder
1.0;Solomon Kane;Met alle filmmakers en scripts in de wereld: hoe is het mogelijk dat Solomon Kane is gemaak
3.0;First Mission;Anniek Pheifer debuteert met een hoofdrol in deze qua opzet idyllische film gebaseerd op het werk van Artsen Zonder Grenzen. De vergelijking met Wit Licht is snel gemaakt.
2.5;Nanny McPhee and the Big Bang;Onnodig vervolg op het erg leuke Nanny McPhee is veel te lang voor de jongste kijkers en te flauw voor de ouders.
5.0;Lebanon;Meesterwerk van Samuel Maoz is een van de beste (anti)oorlogsfilms in jaren.
4.5;The Road;Beklemmende verfilming die het boek vrijwel letterlijk volgt, maar door ijzersterk acteerwerk en prachtige beelden misschien wel nog meer impact heeft.
