stars;title;txt
4.0;De Nieuwe Wildernis;Nederlandse natuurfilm van formaat.
4.0;Mr. Morgan's Last Love;Michael Caine denkt dat al het licht uit zijn leven is verdwenen, tot hij Clémence Poésy ontmoet.
2.0;Jimmy P.;Dramafilm over een indiaan met een oorlogstrauma. Er ontstaat een hechte band met zijn therapeut die er onorthodoxe methodes op nahoudt.
4.0;"A Story of Children &amp; Film";Opnieuw een interessante en inspirerende documentaire van filmfanaat Mark Cousins.
2.0;Greetings from Tim Buckley;Muzikaal document over de complexe relatie tussen de muzikant Tim Buckley en zijn zoon Jeff, die elkaar eigenlijk nooit gekend hebben.
3.0;Waar is Knoester;Derde familiefilm over de eenzame Junior en zijn pratende tak Knoester. Voor de jeugdige doelgroep een fijn middagje uit, al zal de verhaalopbouw wellicht wat verwarrend zijn.
3.5;Wolf;In haast elk denkbaar opzicht is dit ruwe misdaaddrama de tegenhanger van Rabat. Soms verliest regisseur Taihuttu zich iets te veel.
4.0;Prisoners;Een sterk en complex drama over een vader die na de ontvoering van zijn dochtertje het recht in eigen hand neemt.
3.5;Lovelace;Ondanks indrukwekkende rollen van Seyfried en Sarsgaard weet het portret van het heftige leven van de roemruchte pornoster helaas niet het onderste uit de kan te halen.
3.0;"Jeune &amp; Jolie";De nieuwe Ozon vormt binnen zijn veelzijdige oeuvre een aardige middenmoter. Hoofdrolspeelster Marine Vacth is weergaloos als femme fatale tegen wil en dank.
1.5;Paranoia;Ondanks de aanwezigheid van grote namen als Oldman en Ford slaat deze matige thriller de plank volledig mis.
3.0;Camille Claudel 1915;Loodzware kost is deze deprimerende biopic van Bruno Dumont. Juliette Binoche verdient alle lof met haar lef om het lelijkste en donkerste in de mens naar boven te brengen.
2.5;Prince Avalanche;Vlakke bromance van de maker van Pineapple Express die gebukt gaat onder een gebrek aan plot. Hoofdrolspelers Rudd en Hirsch proberen er het beste van te maken.
3.5;White House Down;Channing Tatum redt eigenhandig het Witte Huis, de president, zijn dochter en de gehele wereld.
2.5;Smoorverliefd;Nederlandse remake van de Vlaamse filmhit. Vol met getalenteerde actrices van eigen bodem, maar met een ongelukkige mix van romantiek en te lichtvoetig drama.
