stars;title;txt
4.0;Tussen 10 en 1;Eén mededeling gooit een zorgeloos leven aan gruzelementen. De kijker is getuige. Aangrijpend en confronterend.
4.0;Timbuktu;Wonderschone wereldcinema in de eerste en enige Oscarinzending uit Mauritanië. Zelfs een eenvoudige herder is niet veilig voor de toorn van IS als het noodlot hem treft.
3.0;Suite Française;Franse vrouw en Duitse soldaat raken verwikkeld in een verboden liefde tijdens de Duitse bezetting.
3.5;Open Up To Me;Een transgendervrouw komt door een domme zet oog in oog te staan met de liefde van haar leven. Intiem Fins drama met een paar plotmatige missers.
3.5;Phoenix;Zelfs met het schitterende acteerwerk van Nina Hoss is het ongeloofwaardige uitgangspunt van deze film niet goed te praten.
3.5;Shaun het Schaap: De Film;Een ganse bioscoopfilm rondom het sympathieke en brutale schaap Shaun is wellicht wat te veel van het goede, maar de humor en vakwerk zijn weer ouderwets Aardman.
1.0;Dying of the Light;Nicolas Cage in een belabberde CIA-thriller die naar verluidt zelfs de goedkeuring van regisseur Paul Schrader niet kon wegdragen.
2.5;The Second Best Exotic Marigold Hotel;Deze opvolger van de Britse bioscoophit legt zowaar een formulematige aanpak bloot. En op dramatisch vlak ontbreekt de urgentie.
2.5;Retour à Ithaque;De acteurs maken er het meeste van in dit weinig opzienbarende, politiek getinte drama over de reünie van vijf oude vrienden in Havana.
3.0;Le Meraviglie;Dromerig portret van een Italiaanse plattelandsfamilie.
3.5;Divergent Series: Insurgent;Net als bij de grote inspiratiebron The Hunger Games blijkt ook in deze reeks het tweede deel een stuk aangenamer dan de eersteling.
2.0;Cinderella;Klassiek is deze sprookjesverfilming zeker, maar doordat Disney trouw blijft aan zijn zorgvuldig opgetrokken imago komt de heldin er behoorlijk bekaaid vanaf.
4.0;Still Alice;Julianne Moore schittert als een vrouw bij wie een zeldzame vorm van Alzheimer wordt vastgesteld.
4.0;Loin des Hommes;Een boeiende verfilming van een kort verhaal van Camus, met Viggo Mortensen te midden van spannende shoot-outs in de bergen van Algerije.
4.0;Sergio Herman, Fucking Perfect;Sterk portret van de befaamde driesterrenchef als ambitieus talent, maar ook als  werkverslaafde controlefreak die amper tijd voor zijn gezin heeft.
