stars;title;txt
4.0;Atmen;Krachtig Oostenrijks debuut over een gedetineerde jongen die van de vrijheid mag proeven, maar eerst op zoek moet naar zichzelf en antwoorden. Hij laat hierbij langzaam de kijker toe.
2.5;The Paperboy;Potentie heeft de nieuwste film van Lee Daniels zeker, maar het komt allemaal niet goed uit de verf.
2.5;Milo;Internationale productie met een Nederlands tintje viel al in de prijzen bij het 26e Cinekidfestival.
3.5;"Robot &amp; Frank";Eindelijk een film die optimistisch is over de aanwezigheid van robots. Het enige negatieve is dat ze iemand in een oude criminele gewoonte laten terugvallen.
4.5;Skyfall;James Bond is weer relevant in een mooi geschoten actiefilm die zowel naar het verleden als de toekomst kijkt.
4.5;Killer Joe;William Friedkin is terug, en dat zullen we weten ook. Killer Joe is zeker geen kost voor tere zielen. Maar wie tegen een stootje kan, mag deze keiharde misdaadthriller niet missen.
3.5;Jagten;Thomas Vinterberg is back on track met dit wrange drama over een man voor wie het leven een hel wordt als hij ten onrechte van kindermisbruik wordt beschuldigd.
2.0;Chasing Mavericks;Zelfs met twee regisseur aan boord weet deze biopic over surfer Jay Moriarity niet te beklijven. De schrijvers staren zich blind op de bank tussen Moriarity en goeroe Frosty.
2.0;The Perks of Being a Wallflower;Wat de voordelen zijn van het muurbloempjesbestaan? Geen idee. Misschien anderhalf uur ongegeneerd hipsterwijsheden verkondigen
2.0;Haute Cuisine;Losse biopic over een plattelandskokkin die voor de Franse president mag gaan koken. De verwoede pogingen om parallellen tussen heden en verleden te trekken pakken averechts uit.
4.0;Beasts of the Southern Wild;Zeitlin levert met zijn debuut één van de meest filmische verrassingen van het jaar af.
4.0;End of Watc;Dit derde regieproject van de schrijver van Training Day combineert documentaireachtige actie met doordachte personages. De interactie tussen Gyllenhaal en Peña is ijzersterk.
4.5;Killing Them Softly;Een harde, ijzersterke gangsterfilm die de Amerikaanse droom aan diggelen schiet.
4.0;A Respectable Family;Een sfeervol familiedrama over het Iran van toen en nu, met zowel politieke als thrillerelementen.
3.5;Frankenweenie;De derde avondvullende stop motion animatiefilm van Tim Burton mist een gestroomlijnd plot, maar is wederom vergeven van liefde, vakwerk en originele vondsten.
