stars;title;txt
2.5;Stand Up Guys;Deze vlakke, richtingloze mix van actie en komedie wordt gered door de drie door de wol geverfde hoofdrolspelers.
3.0;Hannah Arendt;Een inleiding in het leven van Hannah Arendt.
4.0;Les Chevaux de Dieu;Een subtiele, eerlijke blik op het martelaarschap.
2.5;In Darkness;Voor een Oscar genomineerd oorlogsdrama weet nooit echt tot leven te komen.
1.0;Scary Movie 5;Irritante en dodelijk saaie zoveelste horrorparodie.
4.0;Warm Bodies;Een bijzondere combinatie: zowel een vermakelijke romkom als een revisionistische zombiefilm. Warm Bodies is zoveel meer dan simpelweg Twilight met zombies.
4.5;Boven Is het Stil;De laatste rol van de veel te vroeg gestorven Jeroen Willems is wellicht ook de kroon op zijn filmoeuvre. Regisseur Nanouk Leopold toont wederom haar onmiskenbare eigenheid.
4.5;Passion;De Palma is weer terug met een exquis vormgegeven thriller zoals alleen hij dat kan.
3.0;The Deep;Biopic over een IJslandse visser die een scheepsramp overleeft. De aanpak van regisseur Kormákur is onrustig, maar de hoofdrolspeler en cameraman maken veel goed.
4.0;Berberian Sound Studio;Vermakelijke kijk achter de schermen van een giallo kantelt steeds meer naar een beklemmende horror. Zonder bloed.
1.5;The Last Exorcism: God Asks. The Devil Commands.;Ashley Bell is het enige pluspuntje in deze lauwe horrorsequel waarin voorspelbaarheid en saaiheid troef zijn.
3.0;Iron Man 3;Deel drie uit de Iron Man-reeks probeert vergeefs aan te sluiten bij The Avengers. Het gammele scenario zit een geslaagde voortzetting in de weg.
3.5;Snitc;Fijne actiethriller met een verrassende Dwayne Johnson.
2.5;Safe Haven;Mierzoet romantisch drama met mooie plaatjes, maar zonder de emotionele snaar.
2.0;Identity Thief;Deze flauwe komedie van de maker van Horrible Bosses mist venijn. De grootste troef is de wisselwerking tussen dader en slachtoffer van identiteitsfraude, maar dit ebt al snel weg.
