stars;title;txt
3.5;De Laatste Dagen van Emma Blank;Emma Blank is stervende en dat weten haar bedienden maar al te goed. Maar niets is wat het lijkt te zijn in deze lichtvoetige komedie met een grimmig tintje.
3.0;Tulpan;Sergei Dvortsevoy toont ons het leven op een Kazachse steppe waar het nomadenbestaan voor de huidige generatie niet meer vanzelfsprekend is.
3.0;Il Papà di Giovanna;Kleinschalig en mooi vormgegeven, maar bij vlagen saai Italiaans drama dat zich afspeelt in het Bologna van 1938
1.5;The Haunting in Connecticut;Stompzinnig gedrag van mensen onder stress leidt tot weinig inlevingsvermogen en spanning.
2.0;X-Men Origins: Wolverine;Een impotente actiefilm die nog net niet verveelt.
4.5;Let the Right One In;Een juweeltje, deze mix van tedere kinderfilm en volwassen horror.
3.5;Mammot;Parallelle universums van verstoorde relaties tussen kinderen en hun ouders aan weerszijden van de aardkloot. Het wachten is op de climax die de broodnodige verandering teweeg gaat brengen. Maar zal er werkelijk ooit iets veranderen
2.5;Ricky;Klein familiedrama met liefde op het eerste gezicht als vertrekpunt ontaardt in een bizar en gevleugeld verhaal. Een flink driehoog-achtergehalte.
3.0;The International;Clive Owen is opnieuw sterk in zeer redelijke thriller.
4.0;Dirty Mind;Verfrissende en heerlijk komische Belgische film met cabaretier Wim Helsen in de hoofdrol als schuwe en onbeduidende stuntelaar Diego Willems.
2.5;The Boat That Rocked;Richard Curtis berooft dit nostalgische project van het leven door het urenlang zo dicht tegen zich aan te drukken dat het dood wegzakt.
2.0;He's Just Not That Into You;Ensemblecast in zeer matige romcom.
1.5;Knowing;Sciencefictionthriller Knowing begint intrigerend maar wordt met de minuut slapper om uiteindelijk volstrekt lachwekkend te eindigen.
3.0;Still Walking;Een warme, subtiele en persoonlijke film die misschien net iets te rustig voortkabbelt.
3.5;Laila's Birthday;Rashid Mashrawi bewandelt het voor hem bekende thematische pad, maar subtieler en met meer oog voor intimiteit.
