stars;title;txt
2.5;Pawn Sacrifice;Was schaakgrootmeester Bobby Fischer een getormenteerd genie of een getraumatiseerde gek? Edward Zwick blijft ons het antwoord schuldig.
3.5;The Night Before;Een amusante toevoeging aan de categorie familieonvriendelijke kerstfilms.
2.0;Hallo Bungalow;Bij vlagen vermakelijke film over dromen, gemiste kansen en een moord op een bungalowpark, maar ook een compilatie van filmische missers in een doelgroeploze genremix.
4.0;600 Miles;Een Oscarnominatie is wat te hoog gegrepen, maar een sterk drama over de Amerikaans-Mexicaanse wapensmokkel is deze Mexicaanse inzending zeker.
3.5;Mon Roi;Heerlijk en pijnlijk liefdesdrama wordt gehinderd door flashbackstructuur.
3.5;Suffragette;Carey Mulligan vecht voor meer rechten dan enkel het aanrecht.
4.0;Vleesverlangen;Eerlijke en vooral intieme zoektocht van een onbevooroordeelde Marijn Frank naar verantwoording en bewustwording omtrent het carnivorenbestaan.
1.0;Fashion Chicks;Het goedkope jatwerk is niet eens het grootste probleem.
2.5;By the Sea;"Brad Pitt en Angelina Jolie spelen opnieuw een koppel in een huwelijkscrisis. Ditmaal valt er nóg minder te lachen dan in Mr.&amp; Mrs. Smith."
3.5;Bridge of Spies;De nieuwe Spielberg is razend knap gemaakt, maar mist spanning en emotie. Mark Rylance in de rol van een vermeend spion is echter weergaloos.
3.5;Er Ist Wieder Da;Een ongenuanceerde en onverwachtse mix tussen Borat, Der Untergang en Back To The Future.
3.5;Solace;Er valt genoeg aan te merken op deze thriller over een FBI-agent die de hulp inschakelt van een helderziende, maar toch zit hij wel lekker vindingrijk in elkaar.
3.5;El Club;In een huis in een kleine Chileense kustplaats moeten vier geëxcommuniceerde priesters hun zonden overzien. Een nieuwkomer gooit hun complete leven en veiligheid overhoop.
2.5;Burnt;Een arrogante chef-kok probeert het wilde leven achter zich te laten en zich een plek terug naar de top te verwerven. Een verhaal dat schift als slechte slagroom met personages als slap geklopte mousse.
3.0;Les Cowboys;Scenarioschrijver Thomas Bidegain begint zijn regiedebuut veelbelovend, maar neemt naarmate zijn film over een tot de jihad bekeerde Française vordert te veel hooi op zn vork.
