stars;title;txt
1.5;If I Stay;Tienerboekverfilming over een getalenteerd meisje dat nog een heel leven voor zich heeft, maar na een auto-ongeluk moet vechten voor haar leven.
3.0;Clouds of Sils Maria;Het sterke acteerwerk van Juliette Binoche en Kristen Stewart maken enkele vreemde regie- en scenariokeuzes een stuk overkomelijker.
2.0;November Man;Deze romanverfilming zit tjokvol plotelementen en voert langs diverse Europese locaties. Geïsoleerd beschouwd vormen de actiescènes de sterkste momenten.
4.0;Nena;Dit deels autobiografische regiedebuut van Saskia Diesing gaat over de complexe relatie tussen een meisje dat haar hele leven nog voor zich heeft en haar vader met een doodswens.
3.0;Watermark;Mooie natuuropnamen kunnen niet verhullen dat deze documentaire over de relatie tussen mens en water weinig nieuws te vertellen heeft.
2.5;Above Us All;Gewaagd experiment van Eugenie Jansen. Above Us All is een 3D-speelfilm met uitsluitend shots van driehonderdzestig graden.
4.0;A Most Wanted Man;Philip Seymour Hoffmans laatste voltooide film onderstreept nog eens wat een geweldige acteur we moeten missen.
4.0;The Tale of Princess Kaguya;Prachtig geanimeerd, diep ontroerend sprookje van het Japanse Studio Ghibli.
2.5;Chef;Jon Favreau begint vol enthousiasme aan een voedzame maaltijd, maar kan het uiteindelijk niet laten deze te overgieten met een hoop zoetigheid.
4.0;Gett, the Divorce Trial of Viviane Amsalem;Scheiden doet vooral lang lijden in dit sterke Israëlische drama, dat de achtergestelde positie van vrouwen in een religieus huwelijk aan de kaak stelt.
2.0;As Above/So Below;Schatzoeken in de catacomben van Parijs levert een ongemakkelijke mix tussen horror, avontuur en found footage op.
2.5;Sin City: A Dame To Kill For;De prequel/sequel die maar liefst negen jaar op zich liet wachten, weet het geduld van de fans niet te belonen.
4.0;Maps to the Stars;Heerlijk vileine en geestige satire over het sterrenbestaan in Hollywood.
2.0;Into the Storm;Twister anno 2014 moest vooral groter en overweldigender zijn. Visueel een amusante rampenfilm, maar inhoudelijk een zwak briesje.
2.5;The Third Side of the River;Klein realistisch drama over jongen die zich wil losmaken van zijn vader.
