stars;title;txt
2.0;Greencard Warriors;Amerikaans drama van de Nederlandse Miriam Kruishoop over twee families die worstelen met hun illegaliteit en overbeschermende inborst.
3.5;When Animals Dream;Bij vlagen originele, bijna geheel geslaagde horrorfilm met goed concept en slimme subtekst.
2.0;Une Heure de Tranquillité;Kluchtige, kolderieke komedie over een tandarts die zijn favoriete plaatje wil luisteren maar door alles en iedereen in zijn omgeving lastig gevallen wordt.
3.5;The Imitation Game;De biopic rondom de excentrieke wetenschapper Alan Turing speelt iets teveel op veilig, maar lijkt in ieder geval al een zekerheidje voor de Oscars.
2.5;Unbroken;Angelina Jolie verfilmde het ongelooflijke levensverhaal van Olympisch sportman en oorlogsveteraan Louis Zamperini.
2.0;Wolves;Een jonge weerwolf ontvlucht zijn dorp en maakt kennis met zijn gevaarlijke soortgenoten.
1.0;Miss Julie;Hemeltergend omslachtig, louter op dialoog gestoeld kostuumdrama over twee mensen die weten dat ze elkaar willen, maar het vertikken ervoor te gaan.
4.0;Love Is Strange;Fijngevoelig drama over twee getrouwde mannen die door tegenslag het zonder elkaars gezelschap moeten stellen. Met prachtig acteerwerk van John Lithgow en Alfred Molina.
3.0;La Distancia;Merkwaardige gedachtestroom van een filmkunstenaar. Eigenzinnig, onconventioneel en bizar tegelijk.
3.5;Black Coal;Doorsnee moordmysterie dat toch de moeite waard is dankzij de persoonlijke touch van de filmmaker.
4.0;Of Horses and Men;De mens heeft altijd een bijzondere pand met het paard onderhouden. Dat deze zowel dramatisch als komisch kan zijn, bewijst deze IJslandse Oscarinzending.
2.0;Exodus: Gods and Kings;Ridley Scotts nieuwe Bijbelspektakel.
4.5;Coming Home;Zhang Yimou keert met zijn twintigste speelfilm terug naar de oorsprong en eenvoud. Een aangrijpend en emotioneel verhaal over herenigde geliefden.
4.0;Love, Rosie;De uitkomst van deze charmante romkom is weinig verrassend, maar de aankleding en invulling zijn zeer de moeite waard, zelfs als de tortelduifjes honderd minuten om elkaar heen draaien.
4.0;What We Do in the Shadows;Mockumentary over vampiergemeenschap blijft ondanks humoristische aspect verrassend dicht bij realiteit.
