stars;title;txt
3.5;La Piscine;Als art-thriller nogal doorsnee, maar het karakterspel blijft oneindig intrigerend met übersterren als Alain Delon en Romy Schneider.
1.5;Transformers: Revenge of the Fallen;Michael Bay overschreeuwt zichzelf in een veel te lange film die nooit grappig is en voor een groot deel zelfs uitermate saai.
4.0;La Ventana;Deze film is als een venster voor de ziel.
3.5;State of Play;Politieke thriller blijft spannend tot nét voor het einde
2.5;La Fille du RER;Een leugen van een jonge vrouw leidt tot een ware mediahype en zet Frankrijk eventjes op zijn kop.
2.0;Snow;Zwaarmoedige film over de nasleep van de Balkanoorlog. Snow won meerdere Europese prijzen, maar blijft een slechtlopende, sentimentele en te symbolisch beladen film.
4.0;The Hangover;Een hilarische uitschieter in het Amerikaanse vrijgezellenfeestgenre.
3.5;The Last House on the Left;Deze remake van de nihilistische culthorror van Wes Craven is vooral qua spanning een enorme verbetering.
3.5;Encounters at the End of the World;Herzog reist af naar Antarctica...waar hij nog lang niet de vreemdste is.
2.5;Last Stop 174;Door een overvloed aan maatschappelijke problemen raken de hoofdpersonen ondergesneeuwd en komen niet tot leven. Engagement en ambitie zijn niet genoeg voor een goede film.
4.0;Unspoken;Gedeeld verlies en het onvermogen erover te communiceren leiden tot meer verdriet, eenzaamheid en het uiteenvallen van een liefdevol paar.
3.5;Easy Virtue;In deze prettig lichtvoetige tragikomedie blijkt Jessica Biel over een behoorlijk talent te beschikken.
3.5;Terminator Salvation;Bij lange na niet zo goed als de eerste twee Terminator-films, maar op zichzelf is de nieuwste Terminator ondanks enkele gebreken best een goede actiefilm.
3.0;The Brothers Bloom;Rian Johnnson wilde een oplichtersfilm in de geest van The Sting, maar raakt verstrikt in zijn eigen plottwisten en logica.
3.5;Duplicity;Tony Gilroy laat met deze romantische spionagethriller wederom zijn kunde van het schrijven van een goed script zien en toont flair voor regie. Toch mist de film iets substantieels.
