stars;title;txt
2.0;Sleeping Beauty;Mysterieus, maar vaag erotisch thrillertje is al dan niet bewust gemodelleerd naar Eyes Wide Shut. Emily Browning is een prachtige verschijning, maar dat is helaas niet voldoende.
3.0;Le Fils de lAutre;De Joodse Joseph en de Palestijnse Yacine werden als babys omgewisseld. Deze film verkent de emotionele impact op de families en laat het politieke conflict als context meespelen .
3.0;Girl Model;Een voorzichtig kijkje in de uiterst grimmige kant van de modellenwereld.
3.0;Tous Ensemble;Vijf bejaarden besluiten samen te wonen, maar de harmonie is niet van lange duur.
1.0;De Dolle Tweeling ;Tweede verfilming van de boekenreeks van Enid Blyton over een meisjesinternaat waar van alles aan de hand is. Kinderachtig, plat en zonder enige diepgang.
4.5;The Raid;Waanzinnig, inventief en snoeihard actiespektakel van Indonesische makelij.
2.0;The Double;Richard Gere wordt uit de mottenballen gehaald als CIA-agent die een oude zaak moet zien op te lossen. Na de verrassende vroegtijdige plotwending gaat het echter snel bergafwaarts.
4.0;Starbuck;Canadese komedie over het vaderschap is af en toe wat sentimenteel, maar heeft veel humor en het hart op de juiste plaats.
3.5;Le Prénom;Toneelverfilming waarin een vriendengroep van de ene in de andere onthulling valt. Het begint allemaal als een van hen de naam van zijn toekomstige zoon bekendmaakt.
3.5;Friends with Kids;Mensen veranderen na het krijgen van kinderen, en dat komt vriendschap en romantiek niet ten goede.
3.0;Whores' Glory;Mondiaal drieluik over prostitutie in Thailand, Bangladesh en Mexico. Het resultaat is meeslepend, schrijnend, soms uitermate komisch, maar ook wat ongemakkelijk.
1.5;LOL;Miley Cyrus probeert - zonder succes - haar Hannah Montana-imago van zich af te schudden.
4.0;Casque d'Or;Klassieker die de grote doorbraak van Simone Signoret betekende. Ze speelt een trotse prostituee die moet vluchten voor de liefde van haar leven.
3.0;Ice Age: Continental Drift;De succesvolle franchise keert terug in de bioscoop: weinig vernieuwend, maar prachtig geanimeerd.
4.0;The Amazing Spider-Man;Geslaagde herstart van de Spider-Man filmserie.
