stars;title;txt
1.5;The Devil Inside;De zoveelste film over exorcisme is een foundfootagefilm. Of een mockumentary. Of een waardeloos misbaksel dat niets te zoeken heeft in de Nederlandse bioscopen.
4.5;Shame;Stijlvol, gevoelig en sterk aangrijpend drama over een seksverslaving, met prachtrollen voor Michael Fassbender en Carey Mulligan.
4.0;The Muppets;De Muppets maken een glorieuze comeback.
5.0;The Descendants;Menselijke, eerlijke film over het leven. Met een indrukwekkende George Clooney in de hoofdrol.
3.0;War Horse;Spielbergs nieuwste is degelijk als altijd, maar door de onevenwichtige stijl geen nieuw meesterwerk.
5.0;Le Havre;Een nieuw meesterwerk van één van Europa's beste filmmakers. De immigratiekwestie als gortdroog semirealistisch sprookje.
2.0;Jack and Jill;Is Adam Sandler definitief de weg kwijt
3.5;My Week with Marilyn;Voorspelbare kijk in het leven van Miss Monroe wordt vooral de show van Michelle Williams. Wat een actrice.
3.0;Les Géants;De nieuwste film van Boulie Lanners bevat sterk acteerwerk, mooie natuurbeelden en steekt prima in elkaar.
3.0;Black Out;Arne Toonen weet de hoge verwachtingen niet helemaal waar te maken, maar komt een heel eind.
3.0;A Good Old Fashioned Orgy;Als sekskomedie heeft A Good Old Fashioned Orgy niet erg veel te bieden, maar als vlotte film over een leuk vriendenclubje doet ie het prima.
2.0;17 Filles;Dit lichtvoetige drama over zeventien zwangere pubers in een Franse badplaats roept voor vooral veel vragen op. De setting en sfeer zijn goed getroffen.
4.0;The Inbetweeners;Een waardige afsluiter van de fijne serie The Inbetweeners, waarin herkenbaarheid hoogtij viert.
4.0;The Girl with the Dragon Tattoo;De nieuwe, Amerikaanse verfilming van Stieg Larssons Mannen Die Vrouwen Haten is dankzij enkele aanpassingen en Finchers stilering niet te versmaden, of je het verhaal nou kent of niet.
3.0;Süskind;De Nederlandse variant van Schindlers List biedt een solide verhaal, goed acteerwerk en zelfs enige nuance, maar probeert hoopvoller te eindigen dan het verhaal rechtvaardigt.
