stars;title;txt
2.0;Crouching Tiger, Hidden Dragon: Sword of Destiny;Deze Netflix Original is een inspiratieloze vervolgfilm die vooral de kracht van zijn voorganger nog eens onderstreept.
4.5;Anomalisa;Een visueel en thematisch pareltje van Charlie Kaufman over uniformiteit, realiteit, seks en sneeuwvlokjes.
3.0;Grimsby;Sacha Baron Cohen bouwt rustig verder aan zijn oeuvre waarin hij de grenzen van het toelaatbare opzoekt en bepaalde groeperingen een spiegel voorhoudt.
2.5;Gods of Egypt;Beter dan de trailers doen vermoeden, maar nog steeds een vrij doorsnee avonturenfilm.
5.0;The Assassin;Een prachtige martial-artsfilm die niet om actie draait.
4.0;Knielen op een Bed Violen;Mooi ingetogen en sterk gespeelde verfilming van Jan Siebelinks bestseller.
3.5;All You Need Is Me;Een intrigerend, maar ongrijpbaar document over kunstenaar Aad Donkers die langzaam de greep op zichzelf verliest.
3.0;Hail, Caesar!;De broertjes Coen belichten de einddagen van het gouden tijdperk van Hollywood, dat in gevaar wordt gebracht door de egos van de acteurs en het communisme.
4.0;Louder Than Bombs;Joachim Trier heeft een diep ontroerend drama gemaakt over een vader en zijn twee zoons, die de dood van hun vrouw en moeder met zich meedragen.
2.5;Pride and Prejudice and Zombies;Precies zoals de titel beweert: het originele verhaal met zombies. Helaas meer gimmick dan een unieke genremix.
2.5;Familieweekend;Op maat gemaakte publieksfilm die een vermogend gezin slim uitspeelt tegen hun onaangepaste schoonfamilie uit een Rotterdamse volksbuurt.
1.0;Dirty Grandpa;Deze vieze opa is het onbetwiste dieptepunt in Robert De Niro's loopbaan.
3.0;Mediterranea;Speelfilmdebuut over twee economische vluchtelingen uit Burkina Faso die een beter leven in Italië zoeken. Elk gaat anders om met de situatie.
4.0;Zootropolis;Doldwaze en oogstrelende 'bunnycopfilm' waarin een konijn en een vos moeten samenwerken om een verdwijningszaak op te lossen.
2.5;Robinson Crusoe;De nieuwe animatiefilm uit de koker van Vlaming Ben Stassen is visueel hoogstaand, maar teleurstellend uitgewerkt.
