stars;title;txt
3.5;Away We Go;In een aangenaam tussendoortje schetst Sam Mendes voor de verandering eens een positief beeld van het Amerikaanse gezin.
2.0;Crossing Over;Mozaïekvertelling over immigratie in Amerika vliegt alle kanten op en blijft uiteindelijk aan de oppervlakte steken.
3.5;Unmade Beds;Hoewel er genoeg valt te genieten aan Unmade Beds, voelt de film een beetje aan als een Ikeakast.
4.0;Millennium: Mannen Die Vrouwen Haten;Uitstekende Zweedse thriller die de toon van het succesvolle boek van Stieg Larsson perfect op het witte doek weet over te brengen.
4.0;Wendy and Lucy;Droevig, minimalistisch drama over de gemarginaliseerden van de Amerikaanse samenleving, met een sterke genuanceerde acteerprestatie van Michelle Williams.
4.0;Public Enemies;Michael Manns nieuwste onderscheidt zich door een hoog authenticiteitsgehalte en een stralende Marion Cotillard.
3.5;Welcome;Een prachtige film over de opbouwende kracht van liefde, maar ook een hele trieste film over de verwoestende eigenschap van diezelfde liefde.
3.5;Lesbian Vampire Killers;Een aardige potpourri over lesbische vampiers, die weliswaar niet hilarisch is, maar waar je wél met een gerust hart je tanden in kan zetten.
2.0;G-Force;CGI-cavia's redden de wereld maar niet de film.
3.5;The Private Lives of Pippa Lee;De geheimen van een kreukloze huisvrouw in een frisse tragikomedie vol jarennegentigsterren.
2.0;Ghosts of Girlfriends Past;Een romcom waar maar weinig om te lachen of te zwijmelen valt en die zelfs een nogal preutse boodschap uitstraalt.
3.5;The Escapist;Traditionele, maar effectieve gevangenisthriller met een twist.
4.0;Ponyo;Deze prachtige kinderfilm brengt jonge kijkers naast vermaak zelfs wat ecobewustzijn bij.
3.0;"Suske en Wiske &amp; De Texas Rakkers";Deze nieuwe verfilming van de bekende stripboekenreeks is nog steeds niet wat het zou kunnen zijn, maar zet wel een stap in de goede richting.
3.5;The Most Distant Course;Deze Taiwanese roadmovie is voor een klein deel geforceerd, vervreemdend en saai, maar voor een groot deel interessant en wonderschoon.
