stars;title;txt
1.0;Adieu au Langage;Jean-Luc Godard gebruikt 3D op revolutionaire wijze, maar is naast vernieuwend ook vermoeiend. Een afwijkende recensie van een afwijkende film.
4.5;Gluckauf;Gefocust psychologisch drama over een complexe vader-zoonrelatie. Volledig gesproken in het Limburgs.
3.5;Amour Fou;Prachtig gestileerd en opzettelijk kil portret van een dichter die een dubbele zelfmoord als de ultieme liefdesdaad ziet.
2.0;The SpongeBob Movie: Sponge Out of Water;Het beste te consumeren met een paar oordopjes en een flinke hoeveelheid aspirines.
2.5;The Sky Above Us;Tijdens de bombardementen in het Belgrado van 1999 proberen mensen grip te houden op hun dagelijkse leven.
3.0;Blackhat;Michael Mann keert na een lange afwezigheid terug met een film over cyberterrorisme.
4.5;Birdman;Ingenieus, grappig, opwindend, technisch hoogstaand en geweldig gespeeld.
4.0;10.000 KM;Een prachtig intiem portret van een zielsgelukkig jong stel dat door werk van elkaar gescheiden wordt. Is met alle moderne communicatiemiddelen hun relatie bestand tegen afstand
2.5;Homies;Vergetelijke hap-slik-wegkomedie van Nederlandse bodem moet het hebben van een paar geinige uitschieters.
3.0;Il Capitale Umano;Italiaans drama over een tragisch ongeluk en de weerslag die dat heeft op de levens van twee families.
1.0;Taken 3;Het (hopelijk) laatste deel uit de franchise presteert het om zijn voorganger eruit te laten zien als een meesterwerk.
3.5;The Theory of Everything;Biopic over het huwelijk tussen de briljante Stephen Hawking en zijn eerste vrouw Jane.
3.0;Onder het Hart;Humoristisch en lichtabsurdistisch liefdesdrama.
4.0;Dear White People;Een aangenaam luchtige maar toch genuanceerde kijk op hedendaags racisme.
4.0;Ptit Quinquin;Vierdelige miniserie over een zonderlinge politierechercheur die op een bizarre moordzaak wordt gezet. Hij heeft heel wat te stellen met de plaatselijke hangjeugd.
